Version Name,Data Link,Meta Link,Data Url
Самостоятельно занятые работники,https://data.egov.kz/api/v4/oz_betinshe_zhumyspen_kamtylga3/v8?apiKey=yourApiKey,https://data.egov.kz/meta/oz_betinshe_zhumyspen_kamtylga3/v8?pretty,https://data.egov.kz/datasets/view?index=oz_betinshe_zhumyspen_kamtylga3
Занятое население,https://data.egov.kz/api/v4/zhumyspen_kamtylgan_halyk1/v6?apiKey=yourApiKey,https://data.egov.kz/meta/zhumyspen_kamtylgan_halyk1/v6?pretty,https://data.egov.kz/datasets/view?index=zhumyspen_kamtylgan_halyk1
Наемные работники,https://data.egov.kz/api/v4/zhaldamaly_kyzmetkerler1/v7?apiKey=yourApiKey,https://data.egov.kz/meta/zhaldamaly_kyzmetkerler1/v7?pretty,https://data.egov.kz/datasets/view?index=zhaldamaly_kyzmetkerler1
Безработное население (в возрасте 15 лет и старше),https://data.egov.kz/api/v4/zhumyssyz_halyk_15_zhas_zhane/v6?apiKey=yourApiKey,https://data.egov.kz/meta/zhumyssyz_halyk_15_zhas_zhane/v6?pretty,https://data.egov.kz/datasets/view?index=zhumyssyz_halyk_15_zhas_zhane
Рабочая сила,https://data.egov.kz/api/v4/zhumys_kushi1/v6?apiKey=yourApiKey,https://data.egov.kz/meta/zhumys_kushi1/v6?pretty,https://data.egov.kz/datasets/view?index=zhumys_kushi1
Доля самозанятых в составе занятого населения,https://data.egov.kz/api/v4/zhumyspen_kamtylgan_halyktyn_k/v6?apiKey=yourApiKey,https://data.egov.kz/meta/zhumyspen_kamtylgan_halyktyn_k/v6?pretty,https://data.egov.kz/datasets/view?index=zhumyspen_kamtylgan_halyktyn_k
Уровень безработицы (по районам),https://data.egov.kz/api/v4/zhumyssyzdyk_dengeii4/v6?apiKey=yourApiKey,https://data.egov.kz/meta/zhumyssyzdyk_dengeii4/v6?pretty,https://data.egov.kz/datasets/view?index=zhumyssyzdyk_dengeii4
"Удельный вес женщин в списочной численности работников, тыс.человек",https://data.egov.kz/api/v4/2020_zhylga_kyzmetkerlerdin_ti/v3?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylga_kyzmetkerlerdin_ti/v3?pretty,https://data.egov.kz/datasets/view?index=2020_zhylga_kyzmetkerlerdin_ti
"Удельный вес женщин в фактической численности работников, тыс.человек",https://data.egov.kz/api/v4/2020_zhylga_kyzmetkerlerdin_na/v4?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylga_kyzmetkerlerdin_na/v4?pretty,https://data.egov.kz/datasets/view?index=2020_zhylga_kyzmetkerlerdin_na
"Численность работающих неполный рабочий день или неполную рабочую неделю, человек",https://data.egov.kz/api/v4/2020_zhylga_tolyk_emes_zhumys_/v4?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylga_tolyk_emes_zhumys_/v4?pretty,https://data.egov.kz/datasets/view?index=2020_zhylga_tolyk_emes_zhumys_
Фонд заработной платы в денежной форме тыс.тенге,https://data.egov.kz/api/v4/2020_zhylgy_kyzmetkerlerdin_ak5/v4?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylgy_kyzmetkerlerdin_ak5/v4?pretty,https://data.egov.kz/datasets/view?index=2020_zhylgy_kyzmetkerlerdin_ak5
Сумма затрат на содержание рабочей силы тыс.тенге,https://data.egov.kz/api/v4/2020_zhylgy_zhumys_kushin_usta1/v4?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylgy_zhumys_kushin_usta1/v4?pretty,https://data.egov.kz/datasets/view?index=2020_zhylgy_zhumys_kushin_usta1
Стоимость рабочей силы в расчете на одного работника тыс.тенге,https://data.egov.kz/api/v4/2020_zhylgy_zhumys_kushi_kunyn2/v4?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylgy_zhumys_kushi_kunyn2/v4?pretty,https://data.egov.kz/datasets/view?index=2020_zhylgy_zhumys_kushi_kunyn2
"Выплаты и расходы, не учитываемые в фонде заработной платы тыс. тенге",https://data.egov.kz/api/v4/2020_zhylga_zhalaky_koryna_kos4/v5?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylga_zhalaky_koryna_kos4/v5?pretty,https://data.egov.kz/datasets/view?index=2020_zhylga_zhalaky_koryna_kos4
"Стоимость рабочей силы в расчете на 1 час, отработанный работником тенге",https://data.egov.kz/api/v4/2020_zhylgy_kyzmetkerdin_istel/v5?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylgy_kyzmetkerdin_istel/v5?pretty,https://data.egov.kz/datasets/view?index=2020_zhylgy_kyzmetkerdin_istel
Количество принятых специалистов с высшим образованием из числа окончивших высшие учебные заведения в отчетном году человек,https://data.egov.kz/api/v4/esepti_zhyly_zhogary_oku_orynd11/v4?apiKey=yourApiKey,https://data.egov.kz/meta/esepti_zhyly_zhogary_oku_orynd11/v4?pretty,https://data.egov.kz/datasets/view?index=esepti_zhyly_zhogary_oku_orynd11
Число неотработанных человеко-дней тыс.человеко-дней,https://data.egov.kz/api/v4/2020_zhylga_istelmegen_zhumysy8/v4?apiKey=yourApiKey,https://data.egov.kz/meta/2020_zhylga_istelmegen_zhumysy8/v4?pretty,https://data.egov.kz/datasets/view?index=2020_zhylga_istelmegen_zhumysy8
