Version Name,Data Link,Meta Link,Data Url
824. Перечень региональных молодежных организаций,https://data.egov.kz/api/v4/opendata-api-uri678/v5?apiKey=yourApiKey,https://data.egov.kz/meta/opendata-api-uri678/v5?pretty,https://data.egov.kz/datasets/view?index=opendata-api-uri678
304. Перечень государственных больниц в разрезе регионов,https://data.egov.kz/api/v4/opendata-api-uri679/v3?apiKey=yourApiKey,https://data.egov.kz/meta/opendata-api-uri679/v3?pretty,https://data.egov.kz/datasets/view?index=opendata-api-uri679
374. Перечень государственных домов престарелых (дома-интернаты для престарелых и инвалидов общего типа) в разрезе регионов,https://data.egov.kz/api/v4/374_perechen_gosudarstvennyh/v3?apiKey=yourApiKey,https://data.egov.kz/meta/374_perechen_gosudarstvennyh/v3?pretty,https://data.egov.kz/datasets/view?index=374_perechen_gosudarstvennyh
376. Перечень государственных детских домов в разрезе регионов,https://data.egov.kz/api/v4/376_perechen_gosudarstvennyh/v5?apiKey=yourApiKey,https://data.egov.kz/meta/376_perechen_gosudarstvennyh/v5?pretty,https://data.egov.kz/datasets/view?index=376_perechen_gosudarstvennyh
276. Перечень государственных специальных и интернатных организаций в разрезе регионов,https://data.egov.kz/api/v4/276_perechen_gosudarstvennyh1/v5?apiKey=yourApiKey,https://data.egov.kz/meta/276_perechen_gosudarstvennyh1/v5?pretty,https://data.egov.kz/datasets/view?index=276_perechen_gosudarstvennyh1
680. Перечень объектов строительства дорог в разрезе регионов,https://data.egov.kz/api/v4/680_perechen_obektov_stroit2/v3?apiKey=yourApiKey,https://data.egov.kz/meta/680_perechen_obektov_stroit2/v3?pretty,https://data.egov.kz/datasets/view?index=680_perechen_obektov_stroit2
681. Перечень объектов ремонта дорог в разрезе регионов,https://data.egov.kz/api/v4/opendata-api-uri683/v1?apiKey=yourApiKey,https://data.egov.kz/meta/opendata-api-uri683/v1?pretty,https://data.egov.kz/datasets/view?index=opendata-api-uri683
669. Сведения об объектах газоснабжения в разрезе регионов,https://data.egov.kz/api/v4/669_svedeniya_ob_obektah_gaz1/v3?apiKey=yourApiKey,https://data.egov.kz/meta/669_svedeniya_ob_obektah_gaz1/v3?pretty,https://data.egov.kz/datasets/view?index=669_svedeniya_ob_obektah_gaz1
729. Перечень государственных учреждений культуры в разрезе регионов,https://data.egov.kz/api/v4/729_perechen_gosudarstvennyh1/v1?apiKey=yourApiKey,https://data.egov.kz/meta/729_perechen_gosudarstvennyh1/v1?pretty,https://data.egov.kz/datasets/view?index=729_perechen_gosudarstvennyh1
Сведения об объектах энергоснабжения в разрезе регионов,https://data.egov.kz/api/v4/onirler_bolinisinde_energiyame5/?apiKey=yourApiKey,https://data.egov.kz/meta/onirler_bolinisinde_energiyame5/?pretty,https://data.egov.kz/datasets/view?index=onirler_bolinisinde_energiyame5
676. Данные о строительстве жилых домов в разрезе регионов,https://data.egov.kz/api/v4/676_dannye_o_stroitelstve_zh4/v2?apiKey=yourApiKey,https://data.egov.kz/meta/676_dannye_o_stroitelstve_zh4/v2?pretty,https://data.egov.kz/datasets/view?index=676_dannye_o_stroitelstve_zh4
677. Данные о строительстве инженерно-коммуникационной инфраструктуры в разрезе регионов,https://data.egov.kz/api/v4/677_dannye_o_stroitelstve_in1/v2?apiKey=yourApiKey,https://data.egov.kz/meta/677_dannye_o_stroitelstve_in1/v2?pretty,https://data.egov.kz/datasets/view?index=677_dannye_o_stroitelstve_in1
675. Данные о строительстве объектов социального назначения в разрезе регионов,https://data.egov.kz/api/v4/675_dannye_o_stroitelstve_ob3/v4?apiKey=yourApiKey,https://data.egov.kz/meta/675_dannye_o_stroitelstve_ob3/v4?pretty,https://data.egov.kz/datasets/view?index=675_dannye_o_stroitelstve_ob3
33. Данные о тендерах на доверительное управление объектов коммунальной собственности в разрезе регионов,https://data.egov.kz/api/v4/33_dannye_o_tenderah_na_dover/v1?apiKey=yourApiKey,https://data.egov.kz/meta/33_dannye_o_tenderah_na_dover/v1?pretty,https://data.egov.kz/datasets/view?index=33_dannye_o_tenderah_na_dover
