Version Name,Data Link,Meta Link,Data Url
"Устав АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_zhargy?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_zhargy
"Антикоррупционная политика АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_sybail?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_sybail
"Дивидендная политика АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/opendata-api-uri141?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=opendata-api-uri141
"Кодекс деловой этики АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_iskerl?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_iskerl
"Организационная структура АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/opendata-api-uri143?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=opendata-api-uri143
"Отчет об исполнении плана развития АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/opendata-api-uri144?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=opendata-api-uri144
"Политика введения в должность вновь избранных членов Совета директоров АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_direkt?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_direkt
"Политика по управлению рисками АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_taueke?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_taueke
"Положение о корпоративном секретаре АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/opendata-api-uri145?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=opendata-api-uri145
"Положение о Правлении АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/opendata-api-uri146?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=opendata-api-uri146
"Положение о совете директоров АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_direkt1?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_direkt1
"Положение о Омбудсмене АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_ombuds?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_ombuds
"Основные положения Кодекса корпоративного управления АО ""НГК ""Казгеология""",https://data.egov.kz/proxy/kazgeologiya_ugbk_ak_korpor?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ugbk_ak_korpor
"Правила осуществления закупок товаров, работ и услуг АО «Казгеология» и организациями, пятьдесят и более процентов голосующих акций (долей участия) которых прямо или косвенно принадлежат АО «Казгеология» на праве собственности или доверительного управления",https://data.egov.kz/proxy/kazgeologiya_ak_zhane_dauys_?apiKey=yourApiKey,,https://data.egov.kz/datasets/view?index=kazgeologiya_ak_zhane_dauys_
Политика противодействия коррупции,https://data.egov.kz/api/v4/sybailas_zhemkorlykka_karsy_sa1/?apiKey=yourApiKey,https://data.egov.kz/meta/sybailas_zhemkorlykka_karsy_sa1/?pretty,https://data.egov.kz/datasets/view?index=sybailas_zhemkorlykka_karsy_sa1
Устав Акционерного Общества Национальная геолого-разведочная компания Казгеология,https://data.egov.kz/api/v4/kazgeologiya_ulttyk_geologiyal/?apiKey=yourApiKey,https://data.egov.kz/meta/kazgeologiya_ulttyk_geologiyal/?pretty,https://data.egov.kz/datasets/view?index=kazgeologiya_ulttyk_geologiyal
Устав Акционерного Общества Национальная геолого-разведочная компания Казгеология,https://data.egov.kz/api/v4/kazgeologiya_ulttyk_geologiyal1/?apiKey=yourApiKey,https://data.egov.kz/meta/kazgeologiya_ulttyk_geologiyal1/?pretty,https://data.egov.kz/datasets/view?index=kazgeologiya_ulttyk_geologiyal1
