"IsMarkedToDelete","ShortAddressRus","AddressRus","geoposition","AddressKaz","PhoneNumber","Code","id","ModifiedDate","NameKaz","Region","TaxStructure","ShortAddressKaz","Id","NameRus","source_url","api_endpoint","government_agency"
"false","с.Балкашино,ул.Абылай-хана,130 a","Акмолинская область, Сандыктауский район, с. Балкашино, ул. Абылай-хана, 119/1","52.519805,68.752812","Ақмола облысы, Сандықтау ауданы, Балкашино а., Абылайхан көшесі, 119/1","+77164092195","MJ-C-D-SC1","4","04.12.2020 17:04:18","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақмола облысы бойынша филиалының Халыққа қызмет көрсету бойынша Сандықтау ауданының бөлімі","116430100; С.БАЛКАШИНО","030501; РГУ УГД по Сандыктаускому району ДГД по Акмолинской области КГД МФ РК","Балкашино а.,Абылайхан к-сі,130 а","4","Отдел Сандыктауского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Акмолинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","г. Макинск,ул Клубная д 32","Акмолинская область, Буландинский район, г. Макинск, ул. Богенбай батыра 21 А","52.641806,70.437360","Ақмола облысы, Бұланды ауданы, Макинск қ., Богенбай батыр көшесі,21 А","+77164623720; +77164623781","MJ-C-I-SC1","9","10.09.2020 18:03:34","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақмола облысы бойынша филиалының Халыққа қызмет көрсету бойынша Бұланды ауданының бөлімі","114020100; Г.МАКИНСК","031001; РГУ УГД по Буландынскому району ДГД по Акмолинской области КГД МФ РК","Макинск қ.,Клубная д 32","9","Отдел Буландынского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Акмолинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","с.Косшы ,ул.Гагарина,2/1","с.Косшы , ул. Республика стр.62","51.0016588,71.3705714","Қосшы а. қ Республика стр 62","","MJ-C-J-SC2","11","09.06.2020 10:55:19","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақмола облысы бойынша филиалының Халыққа қызмет көрсету бойынша Целиноград ауданының №2 бөлімі","711210000; РАЙОН ЕСИЛЬ","031201; РГУ УГД по Целиноградскому району ДГД по Акмолинской области КГД МФ РК","Қосшы а.,Гагарин к-сі,2/1","11","Отдел № 2 Целиноградского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Акмолинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","с.Жаксы,ул.Дружбы д 3","Акмолинская область, Жаксынский район, с. Жаксы, ул. Абая д 8","51.908477,67.316208","Ақмола облысы, Жақсы ауданы, Жақсы а., қ Абая 8","+77163521710","MJ-C-R-SC1","16","09.06.2020 10:55:19","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақмола облысы бойынша филиалының Халыққа қызмет көрсету бойынша Жақсы ауданының бөлімі","115230100; С.ЖАКСЫ","032101; РГУ «УГД по Жаксынскому району ДГД по Акмолинской области КГД МФ РК»","Жақсы а.,Дружбы 3","16","Отдел Жаксынского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Акмолинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","ул. А.Байтурсынова 20","Актюбинская область, Алгинский район, г. Алга ул. А.Байтурсынова 20","49.8996989,57.3257932","Ақтөбе облысы, Алға ауданы, Алға қ., А.Байтұрсынов 20","+77133742079; +77133741096","MJ-D-Q-Q3","23","09.06.2020 10:55:19","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақтөбе облысы бойынша филиалының Халыққа қызмет көрсету бойынша Алға ауданының бөлімі","153220100; Г.АЛГА","060401; РГУ УГД по Алгинскому району ДГД по Актюбинской области КГД МФ РК","А.Байтұрсынов көшесі 20","23","Отдел Алгинского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Актюбинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","п.Мартук,ул.Бокенбай батыра,130","Актюбинская область, Мартукский район, п. Мартук, ул. Сейфуллина дом 34 Б","50.7480309,56.5046918","Ақтөбе облысы, Мартұқ ауданы, Мартұк а., Сейфуллин көшесі, 34 Б","+77133132043; +77133132044","MJ-D-Q-Q10","28","10.09.2020 18:03:34","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақтөбе облысы бойынша филиалының Халыққа қызмет көрсету бойынша Мәртөк ауданының бөлімі","154630100; С.МАРТУК","061001; РГУ УГД по Мартукскому району ДГД по Актюбинской области КГД МФ РК","Мартұқ а.,Бөкенбай батыр к-сі,130","28","Отдел Мартукского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Актюбинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","г.Кандыагаш,мкр.Молодежный, дом 47 «В»","Актюбинская область, Мугалжарский район, г. Кандыагаш, мкр.Молодежэный, дом 47 «В»","49.456690,57.408474","Ақтөбе облысы, Мұғалжар ауданы, Қандыағаш қ., Жастар шағын ауданы, 47 «В» үй","+77133330218","MJ-D-Q-Q9","30","10.09.2020 18:03:34","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақтөбе облысы бойынша филиалының Халыққа қызмет көрсету бойынша Мұғалжар ауданының Қандыағаш қ.ның бөлімі","154820100; Г.КАНДЫАГАШ","061201; РГУ УГД по Мугалжарскому району ДГД по Актюбинской области КГД МФ РК","Кандыагаш қ р.Молодежный, 47 үй «В»","30","Отдел города Кандыагаш Мугалжарского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Актюбинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","г. Хромтау, пр. Абая 12","Актюбинская область, г. Хромтау, пр. Абая 12","50.2630701,58.4327244","Ақтөбе облысы, Хромтау қ., Абай даңғылы, 12","+77133626633; +77133626634","MJ-D-Q-Q13","35","09.06.2020 10:55:19","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Ақтөбе облысы бойынша филиалының Халыққа қызмет көрсету бойынша Хромтау ауданының бөлімі","156020100; Г.ХРОМТАУ","061601; РГУ УГД по Хромтаускому району ДГД по Актюбинской области КГД МФ РК","Хромтау қ., Абай даңғылы, 12","35","Отдел Хромтауского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Актюбинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","г.Каскелен,ул.Жангозина,38 А","Алматинская область, Карасайский район, г. Каскелен, ул.Жангозина, 38 А","43.3870700,77.4858500","Алматы облысы, Қарасай ауданы, Қаскелен қ., Жангозин көшесі, 38 А","+77277122665; +77277122194","MJ-B-E-SC1","42","09.06.2020 10:55:19","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Алматы облысы бойынша филиалының Қарасай аудандық халыққа қызмет көрсету бөлімі","195220100; Г.КАСКЕЛЕН","090501; РГУ УГД по Карасайскому району ДГД по Алматинской области КГД МФ РК","Қаскелен қ.,Жангозин к-сі,38 А","42","Отдел Карасайского района по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Алматинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"false","с.Шелек,ул.Бижанова №100","Алматинская область, Енбекшиказахский р-н, с.Шелек ул.Бижанова №100","43.596778,78.253306","Алматы облысы, Енбекшіқазақ ауданы, Шелек селосы Бижанов к-сі №100","","MJ-B-B-SC2","47","09.06.2020 18:20:50","«Азаматтарға арналған үкімет» мемлекеттік корпорациясы»коммерциялық емес акционерлік қоғамының Алматы облысы бойынша филиалының Шелек ауылының халыққа қызмет көрсету бөлімі","194083100; С.ШЕЛЕК","091201; РГУ УГД по Енбекшиказахскому району ДГД по Алматинской области КГД МФ РК","Шелек с,Бижанов к-сі №100","47","Отдел поселка Шелек по обслуживанию населения филиала некоммерческого акционерного общества «Государственная корпорация «Правительство для граждан» по Алматинской области","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ps_centers/data?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
