"nazvanie_pokazatelya_eng","nazvanie_pokazatelya_kaz","nazvanie_pokazatelya_rus","source_url","api_endpoint","government_agency"
"Interbank Clearing System","Банкаралық клиринг жүйесі","Система межбанковского клиринга","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"FASTER ","FASTER ","FASTER ","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Unistream ","ЮНИСТРИМ ","ЮНИСТРИМ ","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Payment system Kaspi.kz","Kaspi.kz төлем жүйесі","Платежная система Kaspi.kz","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Interbank System of Money Transfer","Банкаралық ақша аударымдары жүйесі","Межбанковская система переводов денег","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"СONTACT","СONTACT","СONTACT","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"System of Mass Electronic Payments","Жаппай электрондық төлемдер жүйесі","Система массовых электронных платежей","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"MIR National Payment System ","«МИР» төлем жүйесі","Платежная система «Мир»","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Mastercard","Mastercard ","Mastercard","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Payment system of the JSC «Halyk Bank of Kazakhstan»","«Қазақстан халық банкі»  АҚ төлем жүйесі","Платежная система АО «Народный Банк Казахстана» ","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/payment_systems_register/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
