"date2022","date2023","nameregkz","date2024","date2020","nameregru","date2021","source_url","api_endpoint","government_agency"
"50433","45712","Шымкент қ.","53182","41678","Шымкент","54048","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"70487","52348","Манғыстау облысы","70419","29502","Мангистауская","84444","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"35995","32106","Жамбыл облысы","32327","26517","Жамбылская","38129","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"56487","46973","Түркістан","48042","33938","Туркестанская","52016","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"10218","25073","Абай","29010","","Абайская","","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"48365","36445","Ақтобе облысы","42665","30875","Актюбинская","53720","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"161715","179517","Алматы қ","216790","107870","г. Алматы","163748","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"97248","64916","Карағанды облысы","69000","55580","Карагандинская","109223","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"111623","92928","Алматы облысы","98257","80100","Алматинская","120879","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"23739","16495","Қызылорда облысы","21493","17934","Кызылординская","31785","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/respublika_boiynsha_zhane_auma/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
