"id","name","date_of_granting_license","name1","number_of_license","source_url","api_endpoint","government_agency"
"5","ТОО «Капитал Ломбард Плюс»","44231","«Капитал Ломбард Плюс»ЖШС","17.21.0001.Л","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"10","ТОО «Микрофинансовая организация «НИЕТ Кредит»","44231","«НИЕТ Кредит» Микроқаржылық ұйым» ЖШС","17.21.0002.М","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"14","ТОО ""Ломбард ""БЕК""","44236","«БЕК» Ломбарды»ЖШС","17.21.0007.Л","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"19","ТОО «МК Экстра Ломбард»","44237","«МК Экстра Ломбард» ЖШС","01.21.0002.Л","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"24","ТОО ""Ломбард ""Магнит""","44238","«Магнит» Ломбарды» ЖШС","17.21.0011.Л","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"29","ТОО ""Ломбард Gold Time""","44238","""Ломбард Gold Time""ЖШС","04.21.0001.Л","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"34","ТОО ""Ломбард БЕТА KZ""","44239","""Ломбард БЕТА KZ""ЖШС","04.21.0004.Л","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"39","ТОО «Кредитное товарищество «Арал ырысы» ","44242","«Арал ырысы» Кредиттік серіктестігі» ЖШС","11.21.0001.К.","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"44","ТОО «Ломбард Финанс плюс»","44242","«Ломбард Финанс плюс» ЖШС","05.21.0006.Л.","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"49","ТОО «Микрофинансовая организация «Express Finance Group»","44243","«Express Finance Group» микроқаржы ұйымы» ЖШС","01.21.0003.М","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/opendata-api-uri487/v123?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
