"id","name_kaz","edinica_izmerenia","sootnowenie","name_rus","kurs","date","kod","source_url","api_endpoint","government_agency"
"4","Белорусь рублі","ТЕНГЕ","1","Белорусский рубль","181.64","01.01.2020","BYN","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"9","Лари","ТЕНГЕ","1","Лари","134.48","01.01.2020","GEL","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"14","Индия рупиясы","ТЕНГЕ","1","Индийская рупия","5.36","01.01.2020","INR","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"19","Кувейт динары","ТЕНГЕ","1","Кувейтский динар","1263.09","01.01.2020","KWD","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"26","Саудов риялы","ТЕНГЕ","1","Саудовский риял","102","01.01.2020","SAR","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"31","Жаѕа тїрік лирасы","ТЕНГЕ","1","Новая турецкая лира","64.38","01.01.2020","TRY","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"36","Швед кронасы","ТЕНГЕ","1","Шведская крона","41.04","01.01.2020","SEK","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"41","Јзербайжан манаты","ТЕНГЕ","1","Азербайджанский манат","225.98","02.01.2020","AZN","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"46","Вона","ТЕНГЕ","100","Вона","33.18","02.01.2020","KRW","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"51","АЌШ доллары","ТЕНГЕ","1","Доллар США","382.59","02.01.2020","USD","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nbrk_currency_rates1/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
