"<название_поля_1>","<название_поля_2>","<название_поля_3>","source_url","api_endpoint","government_agency"
"3","Асбест","руда, тыс.т/ асбест, тыс.т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"8","Бокситы","руда, тыс.т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"13","Висмут","руда, тыс.т/висмут, т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"18","Гафний","руда, тыс.т/гафний, т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"23","Глины гончарные","тыс.т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"28","Доломит для металлургии","тыс.т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"35","Камни строительные","тыс.м3","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"40","Карбонатное сырье для химической промышленности","тыс.т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"45","Конденсат","тыс.т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"50","Марганцевые руды","тыс.т","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/stat_kgn_119/v19?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
