"id","name_kaz","phone","koduch","adres_rus","kodokrug","name_rus","adres_kaz","source_url","api_endpoint","government_agency"
"1","Абай облысының сайлау комиссиясы","код: (87222) тел.: 56-08-01","478","100102, г. Семей, ул. Абая, 86, каб.5","141","Избирательная комиссия области Абай ","100102, Семей қ. Абай көшесі 86, каб. 5","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"8","Жетісу облысының сайлау комиссиясы","код: (7282) тел.: 41-10-25","461","040000, г. Талдыкорган, ул. Аблайхана, 113, каб. 1-2 ","145","Избирательная комиссия области Жетісу","040000, Талдықорған қ., Абылай хан көшесі 113, каб. 1-2","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"13","Маңғыстау облысының сайлау комиссиясы","код: (87292) тел.: 33-00-92; 33-00-98","247","130000, г. Актау, мкр. 34, здание Дома Дружбы, 2 этаж, каб. 4","118","Мангистауская областная избирательная комиссия","130000, Ақтау қ., 34-шағын аудан, Достық үйі ғим. 2 этаж, каб. 4","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"18","Астана қаласының сайлау комиссиясы","код: (87172) тел.: 55-73-65; 55-01-85","449","010000, г. Астана, ул. Бейбитшилик, 9, каб. 224, 226","19","Избирательная комиссия г. Астаны","010000,  Астана қ., Бейбітшілік көшесі 9, каб. 224, 226","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"2","Ақмола облысының сайлау комиссиясы","код: (87162) тел.: 25-36-33; 25-16-49","728","020000, г. Кокшетау, Абая, 83, каб. 108,201","245","Акмолинская областная избирательная комиссия","020000, Көкшетау қ. Абай көшесі 83, каб. 108, 201","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"9","Батыс Қазақстан облысының сайлау комиссиясы","код: (87112) тел.: 24-16-67; 24-31-01","500","090000, г. Уральск, ул.Досмухамедова, 45, каб.112,113,114","171","Западно-Казахстанская областная избирательная комиссия","090000, Орал қ., Досмұхамед көшесі 45, каб.112,113,114","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"14","Павлодар облысының сайлау комиссиясы","код: (87182) тел./факс: 32-18-38; 32-35-51","521","140000, г. Павлодар, ул. Академика Сатпаева, 49. каб. 121","173","Павлодарская областная избирательная комиссия","140000, Павлодар қ., Академик Сатпаев көшесі 49, каб. 121","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"19","Алматы қаласының сайлау комиссиясы","код: (8727): тел-факс: 236-21-77","615","050010, г. Алматы, ул. Толе би, 67, каб. 502-503","24","Избирательная комиссия г. Алматы","050010, Алматы қ., Төле би көшесі 67, каб. 502-503","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"3","Ақтөбе облысының сайлау комиссиясы","код: (87132)тел.: 55-02-86; 55-83-01, 54-72-11","526","030000, г. Актобе, пр. Санкибай батыра, 20А, каб. 101,102, 104, 106","187","Актюбинская областная избирательная комиссия","030000, Ақтөбе қ. Сәңкібай батыр даңғылы, 20А, каб. 101,102, 104, 106","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"6","Шығыс Қазақстан облысының сайлау комиссиясы","код: (87232) тел.: 57-79-04; 57-79-29","535","070004, г. Усть-Каменогорск, ул. им. М. Горького, 65, каб. 32, 33","155","Восточно-Казахстанская областная избирательная комиссия","070004, Өскемен қ., М.Горький атындағы көшесі 65, каб. 32, 33","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_parlame9/v2?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
