"investrus","4kv2022","3kv2024","4kv2021","investkaz","3kv2022","1kv2016","4kv2023","3kv2023","1kv2015","3kv2020","3kv2021","4kv2020","4kv2018","4kv2019","2kv2015","3kv2019","3kv2018","4kv2015","3kv2017","4kv2016","3kv2016","4kv2017","3kv2015","2kv2019","2kv2018","2kv2017","2kv2016","1kv2023","1kv2022","1kv2021","1kv2020","1kv2024","1kv2019","1kv2017","1kv2018","2kv2021","2kv2022","2kv2020","2kv2023","2kv2024","source_url","api_endpoint","government_agency"
"Международная инвестиционная позиция, нетто (1.-2.)","-67408.940888742101","-49796.996969358879","-76929.812734740932","Халықаралық инвестициялық позиция, нетто (1.-2.)","-75428.911896559235","-37531.543064707861","-67661.80197356912","-73618.003072702297","-44481.555036169011","-69332.955520145362","-79703.166541974293","-71980.316668280604","-63810.419432087947","-66034.443269306706","-46220.547710611339","-66394.058855276788","-63162.838054693362","-37451.954371602449","-50793.478014590073","-47006.810465178627","-41603.067249857209","-57979.596072285465","-38820.902950670599","-64109.835922610277","-61082.177766418376","-48563.156131775613","-39607.217470115109","-67098.93387869111","-71555.52996499202","-74476.399043194251","-64730.326091747993","-64282.800069647754","-63768.413348221511","-49978.155527760857","-59902.540133048809","-76154.131101411651","-73722.944729386276","-67419.759529267903","-69860.427369449928","-59462.933978564513","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"1.4 Другие инвестиции (активы)","37400.034751574363","38867.535907122947","33876.13404722113","1.4 Басқа инвестициялар (активтер)","41378.212409449676","32849.727188223544","37837.603795982206","37195.998560893917","38242.457410254581","34085.217351796709","35817.337461808464","29835.661001612949","36918.827971853039","33573.074577804327","37640.486099494359","35393.334787218831","38138.397396594548","34664.408478271711","42444.469654428809","40128.534337505407","39406.850380108939","39123.92093917961","38388.977406541104","36240.113835785523","40861.532314662159","40800.172137212001","35367.739555799031","38319.211707371091","39101.471701235496","32777.23334190969","32982.027072597819","38846.059558204703","37775.309898540909","37958.370368671269","40812.100816822203","36765.870456427663","41348.809839380148","32332.47754037501","37842.681388711688","39009.326449371074","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"2.3 Производные финансовые инструменты (кроме резервов) и опционы на акции для работников  (обязательства) ","93.823999999999998","58.043999999999997","174.84107","2.3 Туынды қаржы құралдары (резервтік активтерден басқа) және қызметкерлерге арналған акциядағы опциондар (міндеттемелер)","46.24042","179.54","98.990000000000009","137.13900000000001","245.32737","45.628","206.77078999999998","66.364239999999995","78.322800000000001","100.76306","212.39456000000001","90.903330000000011","58.519999999999996","210.43366","75.638000000000005","236.672","181.48600000000002","138.02761000000001","231.38624999999999","100.22590000000001","83.938400000000001","122.997","300.80599999999998","100.36500000000001","40.626419999999996","105.34793999999999","95.02955","86.798000000000002","93.251000000000005","129.453","143.27938","142.03537","170.42765","19.011649999999999","86.796310000000005","58.175000000000004","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Прямые инвестиции в Казахстан (чистый приток)","-303.09758099999908","-2007.4088799409287","-325.17930999999953","Қазақстанға тікелей инвестициялар (таза әкелу)","4669.6121330000005","2434.8083943858073","-1275.9674199999993","474.45260669169807","524.4763835709997","165.01810608999995","2349.4284399999992","952.58405420000031","-711.50259544190942","1034.1480340000001","722.78386036899974","817.19234999999981","1417.3230199999998","1415.9344889173963","16.963638311440832","2400.6932769356645","2508.685630768","326.37648999999988","1393.4183268216002","-1442.7926329023662","297.32457999999974","1690.1356383761565","1170.1290347899992","2684.818812999999","1772.8767001099986","206.28074549000053","1126.5207610000004","2288.5794878446804","2875.6333095863502","2680.605063838464","2894.6136299999998","1122.7146399999997","422.00813699999912","1425.5198438000002","1480.9885510000015","-208.32447587999923","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"1.3 Производные финансовые инструменты (кроме резервов) и опционы на акции для работников  (активы)","118.51160790999985","123.22677114000001","126.76607040000012","1.3 Туынды қаржы құралдары (резервтік активтерден басқа) және қызметкерлерге арналған акциядағы опциондар (активтер)","3.5141217399998936","114.76652498000001","161.47086588000008","186.48302569000003","54.164575080000098","108.99884106999991","162.22825362999998","103.43050105999987","112.97477143","85.60445083999997","80.14590046999993","111.2421506","55.569007440000007","167.77860683","22.168945999999732","84.014085759999944","66.308800960000099","12.187013510000002","80.51612082999992","109.01778601000001","35.761171970000035","80.775928569999849","188.27417412","114.4720510600001","302.19190055000007","95.75558770999973","237.18370921999997","115.89997843000002","83.325891049999996","43.309857310000105","59.258775510000014","96.051040490000261","261.61970442999996","100.53307385999997","79.789298269999989","129.19350657000007","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"2.2 Портфельные инвестиции  (обязательства)","19569.037055354624","23264.171828253286","28933.093711870588","2.2 Портфельдік инвестициялар (міндеттемелер)","20018.519845021317","19884.330952952987","23730.909187340581","21880.408427740374","23283.137979758219","20786.600713871092","28668.502639724509","24054.692495378604","18442.781332493214","19589.670502397748","22503.457467223619","20569.900688018199","17601.368053617312","20146.664160661945","23178.04083715886","19826.942797614931","21191.287916902758","23493.596553388968","24049.451145427905","18877.561082053464","19702.875105254265","22751.396683548955","20661.272153068134","19487.097256370376","22510.331705487366","24887.021933376742","17201.543318178341","23445.99321238308","18545.391606391317","20726.619054686827","21428.611880834087","27781.05802226899","21101.510457755903","19242.027524332345","19687.418745671363","22006.433717169512","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"1.2 Портфельные инвестиции (активы)","70953.12584295815","87510.656118888175","66879.631584796298","1.2 Портфельдік инвестициялар (активтер)","63380.898291862664","67822.935926916529","80344.357941926195","79853.358787437377","73830.834310821781","60958.879090728748","62217.929380022979","65939.574952309136","60809.940760370206","69204.007244156237","71863.481612579169","65639.966447693019","61593.624921157883","64893.126496143945","60700.505916444628","63463.078570824531","67591.411815639425","64014.437321591198","68759.597376813734","66148.326098140067","62663.209945762144","65503.129047577189","68400.88550498207","74050.437078314193","63371.302648847348","63734.348997383117","63739.87586359054","83376.789437715925","65023.867496768507","66139.594133249833","64198.105616183246","62917.989530555904","61914.25262538594","64143.175435177487","78747.476780992525","86676.164099432091","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"2.1 Прямые инвестиции (обязательства)","170001.46758508615","168915.31098969432","169097.85802943492","2.1 Тікелей инвестициялар (міндеттемелер)","171848.94202908617","142396.42137511796","174267.97591101524","174822.27372952632","154408.40260622936","166122.40914109","170062.22195885837","167069.71733501687","161672.6049580393","164332.02663400001","155076.54520450055","163354.40873999998","163595.50509000002","139242.5462194724","161513.15779156287","157749.19225362164","154779.34776561661","161540.66162","144386.40786868092","163129.90151","163941.58963","161946.45596528571","147843.43813169765","175132.41209724807","169049.90138242682","167337.61913357128","161147.68213900001","176917.91604852912","164810.40071404231","161522.9220902719","164891.4712618","169106.8528618096","168484.71441342682","166386.347679","176069.91488687019","176362.05942184548","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"1.1 Прямые инвестиции (активы)","31943.112162880003","32418.179111385401","32087.522321","1.1 Тікелей инвестициялар (активтер)","30489.840366100005","33810.692738260004","34018.435580000005","30797.443811999998","30626.000319440274","28510.156876569999","31091.018369999998","29019.362168700001","27984.073555620002","27433.204371496933","31614.66964","27431.339945150001","30084.427426860002","32659.985305000002","40314.09502655","38118.285858759999","37321.758027689997","35240.600031769995","31017.073319000003","26957.273762190001","31159.320074790005","40688.985438529999","36112.416685521646","33904.496413110006","31868.84734","30189.711542688587","25527.751021800646","34324.629990000001","29159.068509310004","39926.904072459998","32865.074492779997","30111.137159999995","33430.123388120002","28848.702319979999","30280.54592","33564.819179999999","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"2. Обязательства","242899.75411518046","253307.47501185848","244277.84078648765","2. Міндеттемелер","243320.04834893177","200523.74194860563","255967.7232603672","253534.45929188348","216335.72423608799","226780.04694938241","244511.95673707069","232516.43026991471","220563.26344564804","225287.84378634056","216260.91380202374","223766.14580092547","223011.9498580661","197708.52286373716","226483.27986986653","218510.97276393953","217220.37904897719","227367.39066505223","205079.8087315778","221786.85517992236","225898.07904483302","225646.95251766493","210050.70034204453","249702.35090532916","239324.44294202153","234779.66410454625","216999.57420118354","258793.22596756101","222852.12203165374","223788.37336735387","228485.74835309826","241094.58886413631","242638.40764038533","225735.90646618613","251267.69999518804","258775.043559126","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/international_investments15/v22?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
