"id","name5_kaz/rus","name1_kaz/rus","name7_kaz/rus","name3_kaz/rus","name2_kaz/rus","name4_kaz/rus","name6_kaz/rus","source_url","api_endpoint","government_agency"
"2","«Римдік-Католиктік Қарағанды Епархиясы» діни бірлестіктің құрылтай құжаттары.","«Алғашқы мұсылман - хазіреті Хадиша (р.анһа)» Автор: Кулькибаев А. Алматы: «Таным» баспасы, 2023 ж. 112 бет. ISBN: 978-601-7495-81-7.","Күзет мұнарасы. Қаңтар. 2025. 32 бет.","https://drive.google.com/file/d/1Xh7BNUN9ACztsH1FUnFV6VCuKOHibw2D/view?usp=sharing ","«Мекке мен Мәдина қалаларының абзалдығы» атты PDF форматындағы кітап макеті. Автор: Муллә Әли Қари. Аударған: Нұрсұлтан Рысмағанбет. - Алматы: «Самға» баспасы, 2024 ж. 192 бет. ","«Пасхальное Богослужение» - (ISBN 978-5-907828-04-9, Москва «Никея», 2024).","Джон Пэкхэм. БОЖЬЯ ЛЮБОВЬ И СПРАВЕДЛИВОСТЬ. — Заокский: Источник жизни. 2025. 255 стр.","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"3","Екібастұз қаласы Шідерті кенті «Құдайдың Қасиетті Анасының Туылуы Грек-Католик Махалласы» жергілікті діни бірлестігінің жарғысы. ","«Малыши в Исламе. Естественное родительство в помощь маме-мусульманке»/ Малика Умм Яхья, - 3-е изд. Махачкала: «Даруль-Фикр», 2023 -232 с. Издательский дом ‘’Даруль-Фикр’’, ISBN 978-5-904975-48-7","Сторожевая башня. Январь. 2025. 32 стр.","https://drive.google.com/file/d/1OQRS2-CExatgR4wLw9WYXZacqsI_GWYX/view?usp=sharing ","«Коран Карим: транскрипция и перевод на русский». Перевод:  Данияр Сулейменов, Арайлым Есимханкызы, Муратбек Жакыпбеков. – – Алматы: Издательство «Самға», 2024. – 1216 стр.","«Для чего ты вышел из мира?: Первосвятитель о цели монашеской жизни» - (М: Издательство Московской Патриархии Русской Православной Церкви, 2024, 240 страниц, ISBN 978-5-907701-74-8).","Джон Пэкхэм. БОЖЬЯ ЛЮБОВЬ И СПРАВЕДЛИВОСТЬ. — Заокский: Источник жизни. 2025. 160 стр.","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"6","","«Тафсир Корана». Авторский тафсир Azan.ru. – Исламский информационно-образовательный портал, Абу Али аль-Ашари, Ахмад Абу Яхья -1-е изд., Махачкала: Даруль-Фикр, 2024.- Т.3 - 872 с., ISBN 978-5-904975-59-3.","Журнал Молодежи. Декабрь, 2024. 36 стр.","https://drive.google.com/file/d/1REtjw3WEtk1GoQmVoPUvwm82_pWFAKzy/view?usp=sharing ","«ИСЛАМ және МОДЕРНИТИ. Интеллектуал дәстүрдің  өзгеруі». Авторы: Фазлур Рахман. Аударған: Асылтай Тасболат. Алматы: «Alqa Publishing», 2024","«Христианское искусство» - (Издательство Московской Патриархии Русской Православной Церкви, Москва, 2023, ISBN 978-5-907701-02-1), 357 стр.","Учение и заветы 2025. Приходи, следуй за Мною – для использования дома и в церкви. Изучение, преподавание и жизнь по Евангелию Иисуса Христа, 352 стр.","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"11","","«Коран. Перевод с арабского и комментарий: Османов М». Издательство: «Диля» 2023, ISBN 978-5-88503-988-8, 976 стр.","«Торпинка» - балаларға арналған журнал, № 6, 2024 жыл. Баспасы: «Свет на Востоке», Германия, ISBN 1610-9104, 32 бетте.","https://www.youtube.com/watch?v=uKBBtO4xpw0 – АДАСҚАННЫҢ АЛДЫ-ЖАР","Қасиетті түндер мен күндерде оқылатын дұға және ғибадаттар / Құрастырған: Мағзиев Е.А. - Алматы: Алтын Парақ, 2024 - 64 бет. ","Избранные Богом. Уроки из жизни женщин Ветхого Завета (Грабб Д.; пер. с англ. Хмелевской Т. – Восточно-Европейский Гуманитарно-Образовательный Фонд, – Санкт-Петербург, 2023. 164 с., ISBN: 978-5-904707-57-6)","Искорка. Первые шаги: возрастая с Иисусом. Пособие по изучению Библии для родителей. Квартал второй / пер. с англ. А. Смеловой. – Заокский: Источник жизни, 2024. – 32 с.: цв. ил., без ISBN.","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"16","","«Ана болуға дайындық» Автор: Хадиша Ермекқызы. – Алматы, «MARFU Press», 2024. – 248 бет. ISBN 978-601-06-8022-7.","Сторожевая башня. Март. 2025 г. 32 стр.","","ФИҚҺУ СИРА (Пайғамбарымыздың өмір тарихы).  Мұхаммад əл-Ғазали
Аударған: Е. Нүсіпбаев. Е.Есімқұлов. Алматы 2024. 324 бет.
","Ким  Сам  Сон. Толкование  книги  Второзаконие. – Алматы, 2024, Изд.1-е – 307 с.","«Православные святые целители», отрывной календарь 2025, ООО «Каламин», г. Москва. ISBN 978-5-76681-142-8","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"21","","Дозволеннное и запретное в питании и не только (Пособие по фикху) – Казань: Издательский дом «Хузур»- спокойствие 2024. – 112 с. ISBN 978-5-6044272-3-1. ","«Мы дети» журнал для детей – издание Новоапостольской церкви / № 8, ноябрь 2024 г.","","«Пайғамбарымыздың өмірбаяны (жастарға арналған)» Автор: Адем Апак. Аударған: Ернар Есімқұлов. Алматы: «Нұр-мүбарак» баспасы, 2024 ж. 113 б.","Шелтон Д., Куинн Ш. Десять Заповедей и планы антихриста. / Шелтон Д., Куинн Ш.; [пер. с англ. А. А. Довганюк]. — Заокский : Источник жизни, 2024. — 160 с. ISBN 978-5-00126-300-5;","Православный календарь на 2025 год: Ветхозаветные, Евангельские и Апостольские чтения на каждый день года. Тропари, кондаки и паремии. Великий покаянный канон, Четверток Великого канона, Суббота Акафиста, Пасхальный канон. – Москва: Летопись, 2024, -784 с. ISBN 978-5-6051917-0-4","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"26","","МҰХАММЕД ИБН МҰХАММЕД ШЫМЫР АЛТЫБАРМАҚ. «ДАЛАИЛ НҮБҮУУАТ МҰХАММАДИ УА ШАМАИЛ ФҮТҮУУАТ АХМАДИ» («Мұхаммедтің пайғамбарлық дәлелдері және Ахмедтік керемет қасиеттерінің жан-жақты сипаттамасы») / Аударған Зәріпбай Оразбай. – Алматы: Abai baspasy, 2024. – 784 бет.","Журнал Лиахона. Ноябрь. 2024г. ","","Сынық құмыра – 10. – Алматы, 2024. – 272 бет.","Андрей Ткачев, Тебе и мне Бог письмо написал. – М.: Издательство: «Апостол веры» (ИП Семенец И.Ю.)., 2024.- 304 с. ISBN 978-5-6050271-2-6, ","","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"30","","Ибрагимова Ә. Тәубе. – Алматы: «Таным» баспасы. 2024. – 184 бет. ISBN 978-601-7929-09-1","","","Кәсіпкер сахабалар – Алматы, 2024. – 208 бет.","Целебник. Православный календарь на 2025 год. – СПб.: Издательство «Синопсисъ», 2024. – 384 с. ISBN 978-5-907822-02-3","","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"35","","Толковние корана Ибн Касир: в 4-х тт. Перевод А.А. Шипилиной. – Москва, Аль-Китаб, 2024. Том 4. 640 с. ISBN 978-5-9500188-3-1 (4 т.) ISBN 978-5-6041415-9-5","","","Мухтасар Сахих аль-Бухари./ Аз-Забиди. – Алматы: ТОО «Qasiet Qaz», 2024. 1040 стр. ISBN 978-601-278-957-7;","Евангельская история для детей: (кН. Дня чтения взрослыми детям)/ в пересказе Галины Калининой.-М.: Лепта Книга.- 2024.-72 с.: цв. Ил.- (Азы православия для детей). ISBN: 978-5-6052527-0-2 (Скрижаль);","","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"40","","Толковние корана Ибн Касир: в 4-х тт. Перевод А.А. Шипилиной. – Москва, Аль-Китаб, 2024. Том 1. 768 с. ISBN 978-5-9500188-7-9 (1 т.) ISBN 978-5-6041415-9-5","","","Кенжетаев Д.Т. Иасауи философиясы: оқулық. – Түркістан, Тұран баспасы, 2024 ж. – 175 б.","","","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ruksat_etilgen_dini_adebietter/v27?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
