"id","kolichestvo","name","source_url","api_endpoint","government_agency"
"5","66","сыбайлас жемқорлық тәуекелдеріне талдау қорытындылары / итоги анализа коррупционных рисков","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"10","218","қызметшілерді жауапкершілікке тарту туралы ұсыныстар енгізілді / рекомендовано наложить соответствующее дисциплинарное взыскание","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"4","289","тәртіптік комиссиялар мен әдеп жөніндегі уәкілдердің қызметі / результаты деятельности дискомиссий госорганов и уполномоченных по этике","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"9","4814","орындалды / исполнено","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"14","156","2024 жылдың 4 тоқсанында орындау мерзімі аяқталатын ұсыныстар / планируется исполнение рекомендаций в 2025 года","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"3","506","мемлекеттік қызмет және сыбайлас жемқорлыққа қарсы іс-қимыл туралы заңнама бұзушылықтарының профилактикасы / профилактика нарушений законодательства о государственной службе и противодействию коррупции ","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"8","4970","ұсыныстар мен ұсынымдар әзірленді / выработано рекомендаций и предложений","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"13","108","Әдеп кодексін бұзғаны үшін / за нарушение Этического кодекса","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"2","1327","мәселелер қаралды, оның ішінде: / рассмотрено вопросов, в том числе:","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"7","87","басқа мәселелер / иные вопросы","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2017_zhyldyn_1_toksandagy_adep1/v35?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
