"id","name_kaz","name_rus","name_eng","code","bic","source_url","api_endpoint","government_agency"
"5","""Бағалы қағаздар орталық депозитарийі"" АҚ","АО ""Центральный Депозитарий Ценных Бумаг""","CENTRAL DEPOSITORY OF SECURITIES JSC","766","CEDUKZKA","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"10","Азаматтарға арналған үкімет Мемлекеттік корпорациясы КЕАҚ","НАО Государственная корпорация ""Правительство для граждан"""," NJSC Public Corporation Governement for Citizens","009","GCVPKZ2A","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"15","Мәскеу қ., Мемлекетаралық Банк","г.Москва Межгосударственный Банк","Moscow, INTERSTATE BANK","550","INEARUMM","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"20","""Қазақстан қор биржасы"" акционерлік қоғамы","АО ""Казахстанская фондовая биржа""","Kazakhstan Stock Exchange JSC","927","KICEKZKX","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"25","""ҚАЗАҚСТАН-ЗИРААТ ХАЛЫҚАРАЛЫҚ БАНКІ"" ЕБ"" АҚ","АО ""ДБ ""КАЗАХСТАН-ЗИРААТ ИНТЕРНЕШНЛ БАНК""","ALMATY,   Bank Subsidiary of  KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK JSC","885","KZIBKZKA","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"4","""Kaspi Bank"" АҚ","АО ""KASPI BANK""","KASPI BANK  JSC","722","CASPKZKA","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"9","""Еуразиялық банк"" АҚ","АО ""Евразийский Банк""","Eurasian Bank JSC","948","EURIKZKA","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"14","""Алматы қаласындағы Қытай сауда-өнеркәсіп Банкі"" АҚ","АО ""Торгово-промышленный Банк Китая в г. Алматы""","Commercial and Industrial Bank of China in Almaty JSC","930","ICBKKZKX","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"19","""Банк ЦентрКредит"" АҚ","АО ""Банк ЦентрКредит""","Bank CenterCredit JSC","856","KCJBKZKX","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"24","""Фридом Банк Қазақстан"" АҚ","АО ""Фридом Банк Казахстан""","""Freedom Bank Kazakhstan"" JSC","551","KSNVKZKA","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_respublikasy_banktik1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
