"naimenovaniye_regiona_na_russkom","obshee_kolichestvo","naimenovaniye_regiona_na_kazakhskom","source_url","api_endpoint","government_agency"
"Актюбинская область","294","Ақтөбе облысы ","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Астана","1328","Астана қаласы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Атырауская область","167","Атырау облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Западно-Казахстанская область","118","Батыс Қазақстан облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Павлодарская область","537","Павлодар облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"область Жетісу","255","Жетісу облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Алматинская область","2974","Алматы облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Карагандинская область","410","Қарағанды облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Северо-Казахстанская область","84","Солтүстік Қазақстан облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"область Ұлытау","34","Ұлытау облысы","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_boiynsha_kazakstan_res2/v40?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
