"kpb4","kpb6","id","kpb2","kpb1","kpb3","kpb5","source_url","api_endpoint","government_agency"
"Проведение технического обслуживания газопотребляющих систем","","","","","","","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Подготовка, переподготовка специалистов, работников в области промышленной безопасности","KZ66VEK00017392
09.01.2025","7","210540030984","ТОО ""SYNERGY OPERATING""","010000, РЕСПУБЛИКА КАЗАХСТАН,
Г.АСТАНА, РАЙОН  АЙҚОҢЫР, улица Шара Жиенқұлова, здание No 24/3, ","","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Подготовка, переподготовка специалистов, работников в области промышленной безопасности","KZ82VEK00017395
10.01.2025","9","150640015594","ТОО Учебный центр ""IQ
GROUP""","060000, РК, АТЫРАУСКАЯ ОБЛАСТЬ, Г.АТЫРАУ, Микрорайон Балықшы улица Айнаш Байжігітова, дом No31Б","","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Проведение экспертизы промышленной безопасности ","","","","","","опасные технические устройства; проектные документы, подлежащие экспертизе в области промышленной безопасности в соответствии с Кодексом Республики Казахстан «О недрах и недропользовании»; технологии, технические устройства, материалы, применяемые на опасных производственных объектах, за исключением строительных материалов, применяемых на опасных производственных объектах; ","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Подготовка, переподготовка специалистов, работников в области промышленной безопасности","KZ01VEK00017398
13.01.2025","15","180140013525","ТОО   ""KBS Gaz""","040516, РЕСПУБЛИКА КАЗАХСТАН,
ОБЛАСТЬ ЖЕТІСУ, ЕСКЕЛЬДИНСКИЙ РАЙОН, С.КОКЖАЗЫК, улица Желтоқсан, дом No101","","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Проведение экспертизы промышленной безопасности ","","","","","","опасные технические устройства; проектные документы, подлежащие экспертизе в области промышленной безопасности в соответствии с Кодексом Республики Казахстан «О недрах и недропользовании»; технологии, технические устройства, материалы, применяемые на опасных производственных объектах, за исключением строительных материалов, применяемых на опасных производственных объектах; ","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Проведение технического обслуживания газопотребляющих систем","","","","","","","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Проведение экспертизы промышленной безопасности ","","","","","","опасные технические устройства; проектные документы, подлежащие экспертизе в области промышленной безопасности в соответствии с Кодексом Республики Казахстан «О недрах и недропользовании»; технологии, технические устройства, материалы, применяемые на опасных производственных объектах, за исключением строительных материалов, применяемых на опасных производственных объектах;","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Подготовка, переподготовка специалистов, работников в области промышленной безопасности","KZ38VEK00017411
21.01.2025","25","240440030123","ТОО ""I-Meken""","010000, РЕСПУБЛИКА КАЗАХСТАН, г.АСТАНА, РАЙОН САРЫАРКА, улица Желтоксан, здание No 21","","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Проведения монтажа, технического обслуживания, технического диагностирования, технического освидетельствования и ремонта лифтов, эскалаторов, траволаторов, а также подъемников для инвалидов","","","","","","монтаж лифтов
- ремонт лифтов
- техническое диагностирование лифтов
- техническое обслуживание лифтов
- техническое освидетельствование лифтов
- монтаж подъемников для инвалидов
- ремонт подъемников для инвалидов
- техническое диагностирование подъемников для инвалидов
- техническое обслуживание подъемников для инвалидов
- техническое освидетельствование подъемников для инвалидов
","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onerkasiptik_kauipsizdik_salas5/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
