"regionru","undefined","kolichestvo_zaregistrirovannyh_yuridicheskih_lic_iz_statisticheskogo_biznes-registra","regionkz","mesyac","source_url","api_endpoint","government_agency"
"Республика Казахстан","537731","537731","Қазақстан Республикасы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Алматинская область","21230","21230","Алматы  облысы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Карагандинская область","28523","28523","Қарағанды облысы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Северо-Казахстанская область","11202","11202","Солтүстік Қазақстан облысы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"город Алматы","152342","152342","Алматы қаласы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Область Абай","8489","8489","Абай облысы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Атырауская область","14557","14557","Атырау облысы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Костанайская область","14714","14714","Қостанай облысы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Туркестанская область","18932","18932","Түркістан облысы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"город Шымкент","29046","29046","Шымкент қаласы","01032025","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
