"id","address","nomerzayavleniya","name","telefon","source_url","api_endpoint","government_agency"
"4","г. Нур-Султан, пр. Сарыарка, 27","KZ16VVB00000340","ТОО ""Республиканский центральный штаб профессиональных военизированных аварийно-спасательных служб"" Мусагалиев А.В.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"9","г. Алматы, мкр. Акбулак, ул. Доспанова, 10","KZ91VVB00000348","ТОО ""MBJ Qurylys servis"" Абдрахманов М.Д.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"11","г. Нур-Султан, ул. Бейбитшилик, 25","KZ26VVB00000354","ТОО ""Центр охраны труда и промышленной безопасности"" Рахимова Г.М.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"16","г. Нур-Султан, р-н. Есиль, ул. Е-10, д. 16/1, кв. 43","KZ04VVB00000362","ТОО ""Қорғау Сервис KZ"" Мадыбеков М.Н.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"23","Мангистауская обл., Мунайлинский р-н., с. Мангистау, ул. Абыл Тілеу, 3","KZ52VVB00000371","ТОО ""Жалын Өрт сөндіруші"" Құрман Е.К.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"28","ВКО, г. Усть-Каменогорск, ул. Шәкәрім, д. 150/1, 29","KZ30VVB00000379","ТОО ""СпецСервисАвтоматика"" Пахомов М.В.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"30","Костанайская обл., г. Костанай, ул. Текстильщиков, д. 9Б","KZ73VVB00000381","ТОО ""Защита 101""                        Шилко Д.Г.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"35","Акмолинская область, г. Кокшетау, Красноярский с.о., с . Красный Яр, ул. Абылай хана 27","KZ40VVB00000393","ТОО ""ПожБезПром-Service NA"" Касенов Д.К.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"42","Карагандинская обл., г. Караганда, район им. Казыбек би, мкр. Степной 4, д. 8/1.","KZ07VVB00000405","ТОО ПФ ""Дельта""","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"47","г. Алматы, Бостандыкский район, ул. Мынбаева, 43А.","KZ12VVB00000412","ТОО ""Сигнал""                       Есимов М.К.","-","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/ort_kauipsizdigi_salasyndagy_a3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
