"<voprosyru>","<voprosykz>","source_url","api_endpoint","government_agency"
"Сроки предъявления исполнительных документов к исполнению","Атқарушылық құжаттарды орындауға беру мерзiмдерi","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Обращение взыскания на дебиторскую задолженность","Дебиторлық берешектен өндіріп алу","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Розыск должника","Борышкерге iздеу салу","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Помощники и стажеры частного судебного исполнителя","Жеке сот орындаушысының көмекшілері мен тағылымдамашылары","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Сроки приостановления исполнительного производства","Атқарушылық iс жүргiзудi тоқтата тұру мерзiмдерi","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Делопроизводство в исполнительном производстве","Атқарушылық іс жүргізудегі іс жүргізу","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Обязанность судебного исполнителя приостановить исполнительное производство","Сот орындаушысының атқарушылық iс жүргiзудiтоқтата тұру мiндетi","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Приостановление действия лицензии частного судебного исполнителя","Жеке сот орындаушысы лицензиясының қолданысын тоқтата тұру","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Полномочия представителя","Өкiлдiң өкiлеттiктерi","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Обжалование решения и действия (бездействия)судебного исполнителя","Сот орындаушысының шешiмiне және әрекетiне (әрекетсiздiгiне) шағым жасау","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zheke_sot_oryndaushysy_kyzmeti/v5?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
