"regionru","id","statistika","regionkz","source_url","api_endpoint","government_agency"
"Акмолинской обл.","4","151","Ақмола обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Жамбылской обл.","9","208","Жамбыл обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Карагандинской обл. ","11","309","Қарағанды обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"СКО","16","91","СҚО","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Актюбинской обл. ","5","208","Ақтөбе обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Кызылординской обл.","12","119","Қызылорда обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Туркестанской обл","17","205","Түркістан обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"г.Астана","1","841","Астана қ.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Алматинской обл.","6","250","Алматы обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Костанайской обл","13","177","Қостанай обл.","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/onirler_bolinisinde_notarustar/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
