"cand4_kz","cand1_kz","cand1_ru","namekz","cand2_kz","cand2_ru","nameru","cand5_kz","cand3_kz","cand6_ru","id","cand6_kz","cand5_ru","cand3_ru","cand4_ru","source_url","api_endpoint","government_agency"
"83524500","187794000","187794000","«Қазақстан Республикасындағы сайлау туралы» Қазақстан Республикасы Конституциялық заңының 58-бабы 2-тармағына сәйкес Республика азаматтары мен ұйымдарының ерікті қайырмалдықтары","109921000","109921000","Добровольные пожертвования граждан и организаций Республики  согласно п.2 ст.58 Конституционного закона Республики Казахстан «О выборах в Республике Казахстан»","899999740","120276200","24230000","1.2","24230000","899999740","120276200","83524500","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"260088.22","34949133.799999997","34949133.799999997","Заңды және жеке тұлғалардың үгіт жұмыстарын ұйымдастыруға байланысты қызметтеріне ақы төлеуге","45135848.479999997","45135848.479999997","На оплату услуг юридических  и физических лиц по организации агитационной работы","140484520","108044.22","33916680","2.4","33916680","140484520","108044.22","260088.22","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"45978881.219999999","140966200.80000001","140966200.80000001","Қазақстан Республикасының Президенттігіне кандидаттардың сайлау қоры қаражатының жұмсалуы , оның ішінде:","68841248.479999989","68841248.479999989","Расходование средств избирательного фонда кандидатов в Президенты Республики Казахстан, в т.ч.:","923198960","169699889.22","36658578","2","36658578","923198960","169699889.22","45978881.219999999","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"681687","5227567","5227567","Көлік және іссапар шығыстарын жабуға","120000","120000","На покрытие транспортных и командировочных расходов","20285940","3027245","140898","2.5","140898","20285940","3027245","681687","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"2641200","0","0","Тіркелген кез келген бұқаралық ақпарат құралдарына шығуға","0","0","На выступления в любых зарегистрированных средствах массовой информации","227947920","0","0","2.1","0","227947920","0","2641200","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"3000000","43400000","43400000","Сайлау науқаны үшін арнайы әзірленген баспа материалдарын, сондай-ақ өзге де белгілер мен нышандарды тегін тарату үшін дайындауға ","15000000","15000000","На изготовление для бесплатной раздачи печатных материалов, а также других знаков и символов, специально изготовленных для избирательной кампании","166004990","0","2601000","2.6","2601000","166004990","0","3000000","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"83524500","187794000","187794000","Қазақстан Республикасының Президенттігіне кандидаттардың сайлау қорына түскен қаражат, оның ішінде:","109921000","109921000","Поступления средств в избирательный фонд кандидатов в Президенты Республики Казахстан, в т.ч.:","1619999740","404276200","47680000","1","47680000","1619999740","404276200","83524500","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"3900000","0","0","Сайлау алдындағы жария іс-шараларды ұйымдастыруға және өткізуге","0","0","На организацию и проведение публичных предвыборных мероприятий","21807450","73734510","0","2.2","0","21807450","73734510","3900000","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"0","0","0","«Қазақстан Республикасындағы сайлау туралы» Қазақстан Республикасы Конституциялық заңының 58-бабы 1-тармағына сәйкес кандидаттың өз қаражаты және кандидатқа өзін ұсынған республикалық қоғамдық бірлестік бөлген қаражат","0","0","Собственные средства кандидата, средства, выделенные кандидату выдвинувшим его республиканским общественным объединением согласно п.1 ст.58 Конституционного закона Республики Казахстан «О выборах в Республике Казахстан»","720000000","284000000","23450000","1.1","23450000","720000000","284000000","0","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"35495906","57389500","57389500","Баспа,дыбыс-бейне және өзге де үгіт материалдарын шығаруға және (немесе) таратуға","8585400","8585400","На выпуск и (или) распространие печатных, аудиовизуальных и иных агитационных материалов","346668140","92830090","0","2.3","0","346668140","92830090","35495906","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/prezident_lauazymyna_kandidatt/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
