"name15","name14","name13","name12","name11","name10","id","name5","name6","name3","name4","name9","name7","name8","name1","name18","name2","name19","name16","name17","source_url","api_endpoint","government_agency"
"амбулаторно-поликлиническая помощь взрослому и детскому населению по специальности, специализированная помощь, первичная медико-санитарная помощь, квалифицированная, доврачебная","амбулаторно-поликлиническая помощь взрослому и детскому населению по специальности, специализированная помощь, первичная медико-санитарная помощь, квалифицированная, доврачебная","сейсенбі 15:00-17.00           бейсенбі 15:00-17:00","87252-53-43-75","Бейсеуов Махамбет Абдезимович","ukogorpol1","1","8(7252) 53-43-75","8(7252) 53-41-71","Шымкент қаласы, Әл-Фараби ауданы,Тауке хан даңғылы, 35 ғимарат","город Шымкент, Аль-Фарабийский район, пр.Тауке хан, зд.35","gp1shymkent.kz","08:00-20:00 сенбі","08:00-20:00","ШЖҚ ""№1 қалалық емхана"" МКК","20","ГКП на ПХВ ""Городская поликлиника №1"" УЗ г.Шымкент","Маршруты № 112,96,140,14,82 Автобус № 5,26,84,26,69,12,109,","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Экспертиза,Клиническая лабораторная диагностика,диагностика, консультативно-диагностическая мед.помощь детскому и взрослому населению, первичная медико-санитарная помощь","Сараптама,клиникалық -зертханалық диагностика, диагностика,балалар мен ересектерге кеңес беру-диагностикалық медициналық көмек көрсету,алғашқы медициналық-санитарлық көмек","сейсенбі сағ:15.00-16.00  бейсенбі сағ:15.00-16.00","8 (7252)    43-06-55","Альжанова Дина Оразгалиевна","emxana_7@mail.ru","7","8(7252) 43-00-70","8 (7252)  43-00-28 8(7252) 43-06-88","г.Шымкент Енбекшинский район, мкр. Онтустик 8/1 здания","Шымкент қаласы, Еңбекші ауд, Оңтүстік м/ауд. 8/1 ғимараты","shymzdrav.gov.kz","08:00-20:00","08:00-20:00","ШЖҚ ""№7 қалалық емхана"" МКК","50 күндізгі бөлім","ГКП на ПХВ ""Городская поликлиника №7""","Маршрут №13, 38, Автобус №22","Флюрография,рентген,мамография,ЭЭГ,РЭГ,ЭКГ,УЗИ,велоэргометрия,колоноскопия,лаб.услуги,стом установки,офтальмологическая установки,ЛОР-комбайн,  спирография","Флюрография,рентген,мамография,ЭЭГ,РЭГ,ЭКГ,УЗИ,велоэргометрия,колоноскопия,лаб.услуги,стом установки,офтальмологическая установки,ЛОР-комбайн,  спирография","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Первичная медико-санитарная помощь; Квалифицированная; Клиническая лабоаторная диагностика; Скорая и неотложная медицинская помощь; Консультативно-диагностическая медицинская помощь детскому населению по специальностям; Амбулаторно-поликлиническая помощь взрозлому и детскому населению по специальностям","Алғашқы медициналық- санитарлық көмек; Білікті көмек;  Жедел медициналық көмек;  Ересектерге және балаларға мына мамандықтар бойынша амбулаторлық емханалық көмек; Консультациялық диагностикалық көмек  ","сейсенбі 15:00-17.00           бейсенбі 15:00-17:00","87252 77-32-33","Омар Ақмарал Уалиханқызы"," gorodskayapoliklinika_3@mail.ru","3","8(7252) 77-32-35","8(7252)            77-32-35       77-32-37","Шымкент қаласы Нурсат  №190","Город Шымкент микрорайон Нурсат №190","gorodskayapoliklinika_3.kz","08:00-20:00","08:00-20:00","ШЖҚ ""№3 Қалалық емхана"" МКК","35","ГКП на ПХВ ""Городская поликлиника №3""","№78,№4,2№13,№147,№4,№20,№92, №115","1. Аппарат медицинский рентгеновскиий МАММО Diagnost  2. Флюограф малодозовый цифровой сканирующий с рентгенозащитной кабиной понижающей радиационную нагрузку. 3. Комплекс рентгеновский диагностический телеуправляемый Телемедикс-Р-АМИКО. 4. УЗИ аппарат. 5. Аппарат радиовизиографический EZ- Sensor ","1. Аппарат медицинский рентгеновскиий МАММО Diagnost  2. Флюограф малодозовый цифровой сканирующий с рентгенозащитной кабиной понижающей радиационную нагрузку. 3. Комплекс рентгеновский диагностический телеуправляемый Телемедикс-Р-АМИКО. 4. УЗИ аппарат. 5. Аппарат радиовизиографический EZ- Sensor ","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Предприятия является оказание амбулаторно-поликлинической помощи, стационарной медицинской помощи, стационарозамещающей медицинской помощи, консультативно-диагностические услуги","амбулаториялық-емханалық, стационарлық, стационарды алмастыратын көмек және консультативтик-диагностикалық қызмет көрсету","сейсенбі 15:00-17.00           бейсенбі 15:00-17:00","87252-54-04-81","Альменов Сергазы Туйсебаевич","aibolit_1@mail.ru","8","8(7252) 54-04-81","8(7252) 55-10-26                   8(7252) 54-04-81                ","Шымкент қаласы Байтұрсынов көшесі №2","город Шымкент улица Байтурсынова №2","gp8shymkent.kz","08:00-20:00","08:00-20:00","ШЖҚ ""№8 Қалалық емхана"" МКК","20","ГКП на ПХВ ""Городская поликлиника №8"""," №102,№121,№43,№145,№111,№38","Наборы и аппаратура МОН 10шт,Флюрографияческий  аппарат ,Электроэнцефалограф,Транежер элептический,Кислородный концентратор, Аппарат Электросон ,Весы,Аппарат инголятор,,""Лор"",Рентгеновский аппарат ОРЕРАRТ ,,Ультразвуковая диогностическая система,АППАРАТ Д/ультразвук(Ап-т ультр.тер. 2-х частотной УЗТ,Электрокардиограф ""CardioCare""","Наборы и аппаратура МОН 10шт,Флюрографияческий  аппарат ,Электроэнцефалограф,Транежер элептический,Кислородный концентратор, Аппарат Электросон ,Весы,Аппарат инголятор,,""Лор"",Рентгеновский аппарат ОРЕРАRТ ,,Ультразвуковая диогностическая система,АППАРАТ Д/ультразвук(Ап-т ультр.тер. 2-х частотной УЗТ,Электрокардиограф ""CardioCare""","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Амбулаторно-поликлиническая помощь;    Стационарозамещающая помощь;   
  Консультативно-диагностическая помощь;
 стоматологическая помощь;      доврачебная медицинская помощь;
квалифицированная медицинская помощь;
 специализированная медицинская помощь,Фтизиатрическая помощь; Скорая неотложная медицинская помощь; все виды профилактических осмотров;  
","Амбулаториялық-емханалық көмек; Стационарды алмастыру көмегі; Консультативтік -диагностикалық көмек; Стоматологиялық көмек; Дәрігерге дейінгі көмек; Квалификациялық медициналық көмек; Бейін мамандар медициналық көмегі, профилактикалық тексерулердің барлық түрлеріпрофилактикалық тексерулердің барлық түрлеріФтизитариялық көмек; Жедел медициналық жәрдем көрсету; профилактикалық тексерулердің барлық түрлері","сейсенбі 16.00-18.00, бейсенбі 16.00-18.00","87252(53-81-60) ","Бекбауова Айгуль Жакиповна","gkkp_gp_4@mail.ru","4","87252(53-83-13)                                                                                                      87252 (53-86-69)","87252(53-83-13)                                                                                                      87252 (53-86-69)","Шымкент қ., Володарский көшесі 11 үй","г.Шымкент, ул. Володарский 11","http://www.gp4.kz/","08.00 - 20.00","08.00 - 20.00","ШЖҚ ""№4 Қалалық емхана"" МКК","20","ГКП на ПХВ ""Городская поликлиника №4""","№19,27,84, 120, 44, 92 автобус, №68, 77, 87,54 маршрут","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Первично   медико-санитарная помощь","Алғашқы медициналық санитариялық көмек","Сәрсенбі  15:00-18.00            ","87252-45-38-86","Оразбаева Раушан Исраиловна","beybyt@mail.ru","9","8(7252) 40-30-01","45-35-79                  45-30-35","Шымкент қаласы,Абай ауданы , Қызылжар мөлтек ауданы,  Жиделибайсын №62 В","город Шымкент, Абайский р/н,мкр. Кызылжар , ул. Жиделибайсын  №62В","АО Казахтелеком ,Belleine","08:00-20:00","08:00-20:00","ШЖҚ ""№9 Қалалық емхана"" МКК","44","ГКП на ПХВ ""Городская поликлиника №9"""," №125, №26, №5, №145, №87, №105, №105а, №80, №23, №111, №52, №12, №47, №38, №80,  ","УЗИ аппараты,  Рентген аппараты,  флюроография аппараты, гемотологиялық  аппарат,   центрифуга, ФЭК аппараты, ЭКГ аппараты, ХОЛТЕР, УВЧ,, спирограф,  ","Ультразвуковая система, Рентген аппарат, Аппарат рентгеновский флюорографический стационарный 12ФК1 ""Флюарком"", Гемотологический анализатор, Центрифуга, ФЭК аппарат, ЭКГ, УВЧ аппарат, Спирограф","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"жалобы,заявление, обращение,запрос","Арыз,шағым,ұсыныс","сәрсенбі 15.00-17.00","8(7252)57-33-80","Сейдалина Жибек Маратовна","shgp5@mail.ru","5","8(7252)57-32-36","8(7252)57-34-51","Шымкент қаласы Сайрам көшесі 192 Б уй","г.Шымкент улица Сайрамская 192 Б","https://ontustik.gov.kz","08.00-20.00","08.00-20.00","ШЖҚ ""№5 Қалалық емхана"" МКК","күндізгі стационар 25-орын","ГКП на ПХВ ""Городская поликлиника №5""","автобус №84, №74.№58,№135,№35,№77,№42,№102,№26,№82,№43,№19,","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Күнделікті 16.00 -18.00. Қабылдау ","Күнделікті 16.00 -18.00. Қабылдау ","Күнделікті 16.00 -18.00","8(7252) 391532, 493684","Айтматов Мейрбек Гарифоллаевич","10-gp@mail.ru","10","8(7252) 49-36-84","8(7252) 463613","Шымкент қаласы, Қаратау шағын ауданы, Қаһарман көшесі, ғимарат 48, пошта индексі 160023","г.Шымкент, район Каратау, микрорайон Кайтпас, улица Кахарман, здание 48","Айди нет, Казахтелеком - Алтел ","8.00 - 20.00 сенбі, жексенбі - кезекшілік 9.00 - 18.00","8.00 - 20.00 суббота, воскресенье - дежурство 9.00 - 18.00","ШЖҚ ""№10 Қалалық емхана"" МКК","4 күндізгі стационар","ГКП на ПХВ ""Городская поликлиника №10""","№ 40, 42, 4, 103, автобустар","1. Авторефректометр (PRK - 6000 в комплект),              2. Кресло гинекологическое,                3. Ультрозвуковая диагностика система,            4. Центрифуга унив.лабораторная,                 5. Электрокардиограмма 12Т-01,                                      6. Шкаф сушильный ШС 80, 7. Авторефректометр (PRK - 6000 в комплект),              8. Аппарат рентгеновский Флюро,                                  9. Тонометр внутреннего давления,                            10. Анализатор мочи Doc Ureader","1. Авторефректометр (PRK - 6000 в комплект),              2. Кресло гинекологическое,                3. Ультрозвуковая диагностика система,            4. Центрифуга унив.лабораторная,                 5. Электрокардиограмма 12Т-01,                                      6. Шкаф сушильный ШС 80, 7. Авторефректометр (PRK - 6000 в комплект),              8. Аппарат рентгеновский Флюро,                                  9. Тонометр внутреннего давления,                            10. Анализатор мочи Doc Ureader","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Оказание амбулаторно-поликлинической помощи, стационарной медицинкой помощи, стационарнозамещающей медицинской помощи, консультативно-диагностические услуги","амбулаториялық-емханалық, стационарлық, стационарды алмастыратын көмек және консультативтік-диагностикалық қызмет көрсету","сейсенбі 16:00-18.00           ","87252-45-21-03","Айгуль Орынбасаровна Кылышбаева","shgp6@mail.ru","6","8(7252) 45-21-03                  ","45-21-95                   45-21-97                ","Шымкент қаласы Абай  ауданы,    Самал-3 м/а,            Әл-Фараби көшесі, 230    ","город Шымкент  Абайский р/н,     м/н Самал-3,             ул. Аль-Фараби, 230 ","ukogorpol6.kz","08:00-20:00","08:00-20:00","ШЖҚ ""№6 қалалық емхана"" МКК","55","ГКП на ПХВ ""Городская поликлиника №6""","Маршрут                121, 105,87, 91,9А,80, 118.                Автобус 93,33.","Спирорография, Ультрадыбыстық аппарат","Спирографический комплекс ""Спироком"", ультразвуковая система","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Оказание первичной медико-санитарной, специализированной медицинской помощи в рамках гарантированного объёма медицинской помощи населению, включающей в себя профилактические, диагностические и лечебные услуги.","Халыққа медициналық көмектің кепілдік берілген көлемі шеңберінде алғашқы медико-санитарлық көмек, мамандандырылған медициналық көмекті қамтитын профилактикалық, диагностикалық және емдік қызметтер.","сейсенбі 15:00-18.00           бейсенбі 15:00-18:00","87252-50-18-46","Ибрагимов Муслим Еркинбаевич","11poliklinika_11@mail.ru","11","40-10-05","8(7252) 50-14-83                  8(7252) 39-02-24","Шымкент қаласы, Қазығұрт мөлтек ауданы,  Құрылыс көшесі №2Б","город Шымкент, мкр. Казыгурт, ул. Құрылыс №2Б","poliklinika11.kz","08:00-20:00","08:00-20:00","ШЖҚ ""№11 Қалалық емхана"" МКК","15","ГКП на ПХВ ""Городская поликлиника №11""","№34, №9-а, №96, №111, №21, №105, №60, №60А, №134, ","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","УЗИ, Рентген, ЭКГ, Флюрография, маммография, Анализатор,","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/emhana2/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
