"id","responsibl","adress_kz","name","date","adress_ru","source_url","api_endpoint","government_agency"
"5","Акмолинский областной русский драматический театр","Ақмола облыстық орыс драма театры","«Кто сказал МЯУ» ертегі","2 февраля                 11.00","Акмолинский областной русский драматический театр","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","Исторический музей поселка Бурабай","Бурабай кентінің тарихи музейі","Мұхтар Мағауиннің 85 жылдығына арналған «Мұхтар Мағауин және оның қазақ әдебиетінде тарихи мұрасы» дәрісі","3 февраля         11.00","Исторический музей поселка Бурабай","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"15","АОУНБ","АОӘҒК","«Бір ел-бір кітап» акциясы аясында «Жұмекен Нәжімеденов – поэзияның асқақ үні» поэзия сағаты","4 февраля      12.00","АОУНБ","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"19","Музей Малика Габдуллина","Мәлік Ғабдуллин музейі","«Екінші Дүниежүзілік соғыс жылдарындағы М.Ғабдуллиннің қоғамдық қызметі» дәріс","5 февраля           12.00","Музей Малика Габдуллина","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"24","Ерейментауский историко-краеведческий музей имени Богенбай батыра","Бөгенбай батыр атындағы  Ерейментау тарихи-өлкетану музейі","Тәттімбет Қазанғапұлының 210 жылдығына арналған «Ұлы Даланың Ұлы күйшілері» әдеби сазды кеші","5 февраля        16.00","Ерейментауский историко-краеведческий музей имени Богенбай батыра","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"29","Акмолинская областная филармония имени Укили Ибрая","Үкілі Ыбырай атындағы Ақмола облыстық филармониясы","«Мuz party» интерактивті шоуы","6 февраля       16.00","Акмолинская областная филармония имени Укили Ибрая","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"34","Литературный музей                         И. Есенберлина","І. Есенберлиннің әдеби музейі","«Уақыт өнері: тастар мен минералдар жинағы» дәрісі","8 февраля          12.00","Литературный музей                         И. Есенберлина","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"39","Областной казахский музыкально-драматический театр имени              Ш. Хусаинова","Ш.Құсайынов атындағы облыстық қазақ музыкалық-драма театры","«О, Қыздар!» драмасы","9 февраля     17.00","Областной казахский музыкально-драматический театр имени              Ш. Хусаинова","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"44","Акмолинская областная филармония имени Укили Ибрая","Үкілі Ыбырай атындағы Ақмола облыстық филармониясы","«Бұлбұлдың оқиғасы» музыкалық қойылым","11 февраля        10.00","Акмолинская областная филармония имени Укили Ибрая","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"49","Областной казахский музыкально-драматический театр имени              Ш. Хусаинова","Ш.Құсайынов атындағы облыстық қазақ музыкалық-драма театры","«Ар.Рух.Муза» дара-толғауы","12 февраля      18.30","Областной казахский музыкально-драматический театр имени              Ш. Хусаинова","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhosparlangan_madeni_is-sharal1/v117?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
