"name15","name14","name13","name12","name11","name10","id","name5","name6","name3","name4","name9","name7","name8","name1","name2","source_url","api_endpoint","government_agency"
"информация отсутствует","15","balbobek-sut@mmail.ru","8 (72533) 4-24-87, 5-31-81","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","1","производство молочной продукции ","Шымкент қаласы","Мертаева С.","сүт өнімдерін өндіру","проезд Цюрупа б/н","город Шымкент","Цюрупа көш. н/з","«Балбөбек-сүт» ЖШС","ТОО «Балбөбек-сүт»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","15","Lakpaints-2012@mail.ru","8(7252) 48-31-79","9.00-18.00","9.00-18.00 выходной суббота и воскрисение ","8","Производство красок, лаков ","Шымкент қаласы","Ризадади М.","лак бояуларын шығару ","Каратауский р-н, кв.238, уч 309","город Шымкент","Қаратау ауданы, кв 238, 309 уч.","«LAK-PAITNS» ЖШС","ТОО «LAK-PAITNS»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","30","Riorista_08@mail.ru","8 (7252)
45-06-45
","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","13","Производство продуктов из мяса и мяса домашней птицы, колбасные изделия","Шымкент қаласы","Цой Михаил Владимирович","Еттен және үй құсы етінен жасалған өнімдерді өндіру, шұжық өнімдері"," ул.Капал батыра, 4а","город Шымкент","Капал Батыр көш, 4а"," «Riorista Production» ЖШС","ТОО «Riorista Production»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","25","koptikovna@mail.ru  stambekov1963@mail.ru","8 (7252)
27-69-68 ","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","18","Фосфорные минеральные удобрения","Шымкент қаласы","Стамбеков Қайрат
Конусбекович
","Фосфорлы минералды тыңайтқыштар","Енбекшинский р-н, ул. Капал батыра, ИЗ «Оңтүстік», 110.","город Шымкент","Еңбекші ауданы, Қапал батыр көшесі, Индустриалды аймақ «Оңтүстік», 110.","«Кайнар» ЖШС","ТОО «Кайнар»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","9","too_crystal@mail.ru","8 747 672 06 09","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","2","производство питьевой воды","Шымкент қаласы","Бекпулатов Ш.","ауыз су өндіру","Абайский р-н, ул.Усенова, 1","город Шымкент","Абай ауданы, Үсенова көш, 1"," ""CRYSTAL-SU LTD "" ЖШС","ТОО ""CRYSTAL-SU LTD""","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","20","nargiza-5555@mail.ru","8-701-582-42-76","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","9","Стерильные комплекты для новорожденных ","Шымкент қаласы","Иманакова Н.","жаңа туылған нәрестелерге  арналған стерилді жиынтқ","мкр. Отрар 57-24","город Шымкент","Отырар м/а 57-24","«Medtex KZ» ЖШС","ТОО «Medtex KZ»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","20","too_elastik_ltd@mail.ru","8 (7252)  53-06-17
53-40-71
","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","14","Носочные изделия, крашение х/б изделий, пошив постельных принадлежностей, мужских трусов","Шымкент қаласы","Сайфудинова Земфира Зиннуровна","Шұлық бұйымдары, мақта бұйымдарын бояу, төсек-орын жабдықтарын, ерлер трустарын тігу","ул.Туркестанская, 6а","город Шымкент","Түркістан көшесі, 6а","«Эластик LTD» ЖШС","ТОО «Эластик LTD»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","37","dezfumex@mail.ru","8-701-727-85-65","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","19","Производство микробиологической среды и тесты быстрой диагностики","Шымкент қаласы","Шуменбаев Жолшыбек Кабанович","Микробиологиялық орта өндірісі және жылдам диагностикалық тесттер","Каратауский район,
Индустриальная зона «Тассай»
","город Шымкент","Қаратау ауданы
Индустриалды аймақ «Тассай»
"," «ДезФумэкс» ЖШС","ТОО «ДезФумэкс»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","20","marselsu@mail.ru","8 747 672 06 09","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","3","производство питьевой воды","Шымкент қаласы","Мырзабеков Б.","минералды су өндіру","мкр.Нурсат, д.53а, кв.2","город Шымкент","Нұрсат м/а, 53а үй, 2кв","«Марсель-су» ЖШС","ТОО «Марсель-су»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"информация отсутствует","18","Gulnaz01.kz@mail.ru","8-701-161-34-68","9.00-18.00 выходной суббота и воскрисение ","9.00-18.00 сенбі жексенбі демалыс күні","6","национальная одежда ","Шымкент қаласы","Есимбекова Г.","ұлттық киім ","ул. Тауке-хана, б/н, бутик 136","город Шымкент","Тауке Хан көш. н/с, 136 бутик","«Есимбекова Г.А.» ЖК","ИП «Есимбекова Г.А.»","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/shymkent_k__tauarondirushiler/v12?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
