"id","name5","name6","name3","name4","name9","name11","name10","name7","name8","name1","name2","source_url","api_endpoint","government_agency"
"5","ТОО ""Прогресс KZ""
№89 от 24.05.2023","6110135.5149999997","Шымкент қаласы    Абай ауданы","Абайский район города Шымкент","2023-2025","24-75-17","ТОО ""КурылысТехНадзорСерсис""
№121 от 01.06.2023","ТОО ""Шымкент КазДорпроект""
№54 от 22.05.2023","0","Реконструкция автомобильной дороги А2 Хоргос – Алматы – Шымкент - гр. Республики Узбекистан км 674-705+621  (объезд города Шымкент)"" Участок: ""От ганицы работ РП ТОО ""Асем Курылыс"" (км 682+950) до ул. К.Тулеметова (км 691), Этап VI"" ","Реконструкция автомобильной дороги А2 Хоргос – Алматы – Шымкент - гр. Республики Узбекистан км 674-705+621  (объезд города Шымкент)"" Участок: ""От ганицы работ РП ТОО ""Асем Курылыс"" (км 682+950) до ул. К.Тулеметова (км 691), Этап VI"" ","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","ТОО ""Prof-Facade""
№32 от 14.04.2023","362906.05699999997","Шымкент қаласы    Қаратау ауданы","Каратауский район города Шымкент","2023-2025","24-75-17","ТОО ""Pride group""
№119 от 02.06.2023","ТОО ""Береке""
№34 от 14.04.2023","1.2","«Строительство местного проезда для доступа к объектам предпринимательства и автостоянки на пересечении улиц и проспектов Байдибек би- Аргынбекова в г.Шымкент»","«Строительство местного проезда для доступа к объектам предпринимательства и автостоянки на пересечении улиц и проспектов Байдибек би- Аргынбекова в г.Шымкент»","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"15","ТОО ""Корпорация ""Береке А""
№127 от 22.08.2024","481043.77671000001","Шымкент қаласы    Абай ауданы","Абайский район города Шымкент","2024-2025","24-75-17","ТОО ""Конструктор Сапа""
№128 от 23.08.2024","ТОО ""Улмад"" №131
от 04.09.2024","0","Строительство продолжения улицы С.Жандосова от улицы А.Сасбукаева до улицы Ж.адырбекова города Шымкент","Строительство продолжения улицы С.Жандосова от улицы А.Сасбукаева до улицы Ж.адырбекова города Шымкент","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"20","ТОО ""Улмад""
№353 от 08.07.2022","15275.142","Шымкент қаласы    Еңбекші ауданы","Енбекшинский район города Шымкент","2022-2025","24-75-17","ТОО ""Пример Строй""","ТОО ""Отау -Строй""","3.9940000000000002","""Строительство железнодорожного путепровода по ул. Тленшина в Каратауском районе, г.Шымкент""","""Строительство железнодорожного путепровода по ул. Тленшина в Каратауском районе, г.Шымкент""","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1","ТОО ""Корпорация ""Сити-Строй""
№279 от 05.05.2021","9252157.9068","Шымкент қаласы    Абай ауданы","Абайский район города Шымкент","2021-2025","24-75-17","ТОО ""Банур-1""
№75 от 23.05.2024","ТОО ""КОНСТРУКТОР-80""
№30 от 16.02.2022","0","«Строительство продолжения улицы Кунаева  (от ул. Туркестанской до железной дороги по развилкам дорог) г.Шымкент. Участок ПК5+80-ПК22+93.67 (2-ЭТАП)","«Строительство продолжения улицы Кунаева  (от ул. Туркестанской до железной дороги по развилкам дорог) г.Шымкент. Участок ПК5+80-ПК22+93.67 (2-ЭТАП)","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6"," ТОО ""Авторемстрой ЛТД"" 
№234 от 21.04.2022","7289132.3625800004","Шымкент қаласы    Абай ауданы","Абайский район города Шымкент","2022-2025","24-75-17","ТОО ""Тұран құрылыс""
226 от 21.04.2022","ТОО ""Шымкент Каздорпроект""
№235 от 03.05.2022","0","Реконструкция автомобильной дороги А-2 ""Хоргос-алматы-Шымкент-гр.Республики Узбекистан 674-705+621 км (объезд города Шымкент) Участок: ""от границы г. Шымкента (км 674) до пересечения с проспектом Байдибек би (граница работ ТОО ""Асем Курылыс"")"", Этап - VII""","Реконструкция автомобильной дороги А-2 ""Хоргос-алматы-Шымкент-гр.Республики Узбекистан 674-705+621 км (объезд города Шымкент) Участок: ""от границы г. Шымкента (км 674) до пересечения с проспектом Байдибек би (граница работ ТОО ""Асем Курылыс"")"", Этап - VII""","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","ТОО ""Алем Транс Жол"" №217 от 18.03.2021","1154413.7420000001","Шымкент қаласы              Әл-Фараби ауданы","Аль-Фарабийский район                              города Шымкент","2021-2025","24-75-17","ТОО ""IT-Invest company' №215 от 16.03.2021","ТОО ""Улмад"" №221 от 30.03.2021","","«РП «Строительство продолжения улицы Утегенова от  ул. Толеметова до мкр. Шымкент сити, протяженностью 2,3км в г. Шымкент (первая очередь)»","«РП «Строительство продолжения улицы Утегенова от  ул. Толеметова до мкр. Шымкент сити, протяженностью 2,3км в г. Шымкент (первая очередь)»","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"16","ТОО ""Корпорация ""Береке А""
№126 от 22.08.2024","1139981.1930499999","Шымкент қаласы    Абай ауданы","Абайский район города Шымкент","2024-2025","24-75-17","ТОО ""Конструктор Сапа""
№129 от 23.08.2024","ТОО ""Улмад"" №130
от 04.09.2024","0","Строительство улицы без названия соединяющий мкр. ""Асар"" с мкр. ""Шымкент-Сити"" в г. Шымкент","Строительство улицы без названия соединяющий мкр. ""Асар"" с мкр. ""Шымкент-Сити"" в г. Шымкент","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"21","ТОО ""SRB Construcnion""
№265 от 03.06.2022","17486.531999999999","Шымкент қаласы    Қаратау ауданы","Каратауский район города Шымкент","2022-2025","24-75-17","ТОО ""Банур-1""","ТОО ""Алем Транс Жол""","19.3","""Строительство железнодорожного путепровода по ул. Момынова в Енбекшиском районе, г. Шымкент""","""Строительство железнодорожного путепровода по ул. Момынова в Енбекшиском районе, г. Шымкент""","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","ТОО ""Арыс құрылыс""
№242 от 04.05.2022","11987695.460000001","Шымкент қаласы            Әл-Фараби ауданы","Аль-Фарабийский район                              города Шымкент","2018-2025","24-75-17","ТОО ""Банур-1""
№86 от 18.04.2019","ТОО ""Verus Engineering""
№188 от 02.10.2018","0","Строительство продолжения улицы Кунаева (от улицы Дамбовой до дороги А-2 с транспортным сообщением) согласно генеральному плану г. Шымкент. Участок 1 Гр по мосту через реку Бадам до км 4+70,0 (5-ЭТАП)","Строительство продолжения улицы Кунаева (от улицы Дамбовой до дороги А-2 с транспортным сообщением) согласно генеральному плану г. Шымкент. Участок 1 Гр по мосту через реку Бадам до км 4+70,0 (5-ЭТАП)","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhol_kurylysy_obektileri/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
