"mestor_rus","name_rus","period_kaz","mestor_kaz","sravnenie","v_ob","id","name_kaz","iskopaemoe__rus","raion_kaz","nomer","period_rus","iskopaemoe_kaz","raion_rus","source_url","api_endpoint","government_agency"
"Айыртауское","ТОО «Кокшетау Строй Недра» ","01.01.2024 жыл","Айыртауское","25 тыс.м3","29,9 тыс.м3","1","""Кокшетау Строй Недра"" ЖШС","строительный камень","Айыртау ауданы","№25 от 26.10.2004г.","01.01.2024 год","құрылыс тас","Айыртауский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Даутское I, (правобережный участок)","ТОО  «Компания Диорит-LTD» ","01.01.2024 жыл","Даутское I, (правобережный участок)","5 тыс м3","4,7 тыс м3","6","""Компания Диорит-LTD"" ЖШС ","строительный камень","Ақжар ауданы","№ 33 от 11.04.2005г.","01.01.2024 год","құрылыс тас","Акжарский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Даутское-1","ТОО ""НерудИндустрис""","01.01.2024 жыл","Даут-1","173 тыс м3","23 тыс м3","11","""НерудИндустрис"" ЖШС","строительный камень","Ақжар ауданы","№ 3 от 10.01.2001г. ","01.01.2024 год","құрылыс тас","Акжарский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Южный","ТОО ""Жаслан и Компания"" ","01.01.2024 жыл","Оңтүстік","25 тыс м3","18 тыс м3","16","""Жасұлан және Компания"" ЖШС","глины и глинистые породы","Петропавл қ.","№ 122 от 07.08.2018 г.","01.01.2024 год","саз және сазды жыныстар","г.Петропавловск","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Петропавловское (Южное) ","ТОО «МостПартнерИнвест»","01.01.2024 жыл","Петропавл (Оңтүстік)","17 тыс м3","9 тыс м3","21","""МостПартнерИнвест"" ЖШС","трепеловидные глины","Қызылжар ауданы","№ 36 от 05.10.2005г.","01.01.2024 год","трепеловидті саздар ","Кызылжарский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"""Ашанинское 1"",                   ""Ашанинское 2""","ТОО ""АртоСам""","01.01.2024 жыл","""Ашанинское 1"",                   ""Ашанинское 2""","94,5 тыс м3","94,5 тыс м3","26","""АртоСам"" ЖШС","песчано-гравийная смесь","Ғ.Мүсірепов ауданы","№ 72 от 20.01.2009г.","01.01.2024 год","құм-қиыршықтас қоспасы","район Г.Мусрепова","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Шарыкольский","ТОО ""Мәгдән СК""","01.01.2024 жыл","Шарыкольский","100 тыс м3","0 тыс м3","33","ЖШС ""Мәгдән СК""","строительный камень","Тайынша ауданы","№ 76 от  14.08.2009г.","01.01.2024 год","құрылыс тас","Тайыншинский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"участок ""Сары Тас ""                                                            ","ТОО ""Северный Ресурс""","01.01.2024 жыл","Сары Тас учаскесі","-","-","38","""Северный Ресурс"" ЖШС ","граниты","Тайынша ауданы","лицензия № 3 
от 15.01.2020 г.","01.01.2024 год","граниттер","Тайыншинский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
" Жамантуз ","ТОО «Жамантуз-Бабеке» ","01.01.2024 жыл"," Жамантуз ","0 тыс м3","0 тыс м3","43","""Жамантуз-Бабеку"" ЖШС ","поваренная соль","Уәлиханов ауданы","№ 92 от 14.03.2013г.","01.01.2024 год","ас тұзы ","Уалихановский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Ольшанка","ТОО «NeoCenter»","01.01.2024 жыл","Ольшанка","-","-","48","«NeoCenter» ЖШС","глинистых пород 
(осадочные породы-супесь песчанистая)","Қызылжар ауданы","лицензия №10  
 от 17.04.20 г.","01.01.2024 год","сазды жыныстар (шөгінді жыныстар-құмтасты құмтас)","Кызылжарский район","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/poleznieiskopaemyesko/v16?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
