"name15","name14","name13","name12","name11","name10","id","name5","name6","name3","name4","name9","name7","name8","name1","name2","name16","name17","source_url","api_endpoint","government_agency"
" ТОО ""Отау-Строй"""," ТОО ""Отау-Строй""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2022","2020","4","264","Шымкент қаласы","15 596,2 м2.","12 этажный","Туран ш/а","город Шымкент","мкр Туран","«РП «Строительство 12-ти этажных 66-квартирных сблокированных жилых домов в мкр. «Туран» в г. Шымкент 1-очередь (повторное применение проекта на 4 дома) жилые дома №24, 25, 26, 27» (без наружных инженерных сетей)»
","""РП"" ш / а 12 қабатты 66 пәтерлі блокталған тұрғын үй құрылысы. ""Тұран"" Шымкент қ. 1-кезек (4 Үйге арналған жобаны қайта қолдану) тұрғын үйлер №24, 25, 26, 27"" (сыртқы инженерлік желілерсіз)""","","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
" ТОО ""Корпорация АҚ ордасы"""," ТОО ""Корпорация АҚ ордасы""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","9","54","Шымкент қаласы"," 3 518,4 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","""Шымкент қаласында"" Тұран "" шағын ауданында 9 қабатты тұрғын үй салу (2-кезек) (4 үйге қайта пайдалану). (сыртқы инженерлік желілерсіз) №10 тұрғын үй""","""Строительство 9-ти этажного жилого дома (2-я очередь) в микрорайоне ""Туран"" в городе Шымкенте (повторное использование на 4 дома). (без наружных инженерных сетей) жилой дом №10""","77010000200","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
" ТОО ""Корпорация АҚ ордасы"""," ТОО ""Корпорация АҚ ордасы""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","14","54","Шымкент қаласы"," 3 518,4 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","""Шымкент қаласында"" Тұран "" шағын ауданында 9 қабатты тұрғын үй салу (3-кезек) (4 үйге қайта пайдалану). (сыртқы инженерлік желілерсіз) №15 тұрғын үй""","""Строительство 9-ти этажного жилого дома (3-я очередь) в микрорайоне ""Туран"" в городе Шымкенте (повторное использование на 4 дома). (без наружных инженерных сетей) жилой дом №15""","77010000200","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"""Таймас Company"" ЖШС"," ТОО ""Таймас Company""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","19","54","Шымкент қаласы"," 3 518,4 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","""Шымкент қаласында"" Тұран "" шағын ауданында 9 қабатты тұрғын үй салу (4-кезек) (4 үйге қайта пайдалану). (сыртқы инженерлік желілерсіз) №20 тұрғын үй""","""Строительство 9-ти этажного жилого дома (4-я очередь) в микрорайоне ""Туран"" в городе Шымкенте (повторное использование на 4 дома). (без наружных инженерных сетей) жилой дом №20""","8(7172)425840","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"""Hadid"" ЖШС"," ТОО ""Hadid""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","1","192","Шымкент қаласы","11 342,7 м2","9 этажный","Туран ш/а","город Шымкент","мкр Туран","«Строительство 9-ти этажных 48-квартирных сблокированных жилых домов в мкр. «Туран» в г. Шымкент (повторное применение проекта на 4 дома) 1-очередь жилые дома № 28, 29, 30, 31» (без наружных инженерных сетей) - 4 дома
","Шымкент қ. Тұран ш/а 9 қабатты 48 пәтерлік №28, 29, 30, 31 тұрғын үйлердің құрылысы. (4 Үйге арналған жобаны қайта қолдану) 1-кезек (сыртқы инженерлік желілерсіз) - 4 үй","77758880040","toohadid@mail.ru","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
" ТОО ""Корпорация АҚ ордасы"""," ТОО ""Корпорация АҚ ордасы""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","5","54","Шымкент қаласы"," 3 518,4 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","«РП ""Строительство 9-ти этажных жилых домов в микрорайоне ""Туран"" (1 очередь) (повторное использование на 4 дома) в г. Шымкент. (без наружных инженерных сетей) Жилой дом №6""»
","""РП ""Шымкент қаласындағы"" Тұран "" шағын ауданында 9 қабатты тұрғын үй құрылысы (1 кезек) (4 үйге қайта пайдалану). (сыртқы инженерлік желілерсіз) № 6 тұрғын үй""""","77010000200","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
" ТОО ""Корпорация АҚ ордасы"""," ТОО ""Корпорация АҚ ордасы""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","10","54","Шымкент қаласы"," 3 518,4 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","""Шымкент қаласында"" Тұран "" шағын ауданында 9 қабатты тұрғын үй салу (2-кезек) (4 үйге қайта пайдалану). (сыртқы инженерлік желілерсіз) №11 тұрғын үй""","""Строительство 9-ти этажного жилого дома (2-я очередь) в микрорайоне ""Туран"" в городе Шымкенте (повторное использование на 4 дома). (без наружных инженерных сетей) жилой дом №11""","77010000200","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
" ТОО ""Корпорация АҚ ордасы"""," ТОО ""Корпорация АҚ ордасы""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","15","54","Шымкент қаласы"," 3 518,4 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","""Шымкент қаласында"" Тұран "" шағын ауданында 9 қабатты тұрғын үй салу (3-кезек) (4 үйге қайта пайдалану). (сыртқы инженерлік желілерсіз) №16 тұрғын үй""","""Строительство 9-ти этажного жилого дома (3-я очередь) в микрорайоне ""Туран"" в городе Шымкенте (повторное использование на 4 дома). (без наружных инженерных сетей) жилой дом №16""","77010000200","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"""Таймас Company"" ЖШС"," ТОО ""Таймас Company""","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","20","54","Шымкент қаласы"," 3 518,4 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","""Шымкент қаласында"" Тұран "" шағын ауданында 9 қабатты тұрғын үй салу (4-кезек) (4 үйге қайта пайдалану). (сыртқы инженерлік желілерсіз) №21 тұрғын үй""","""Строительство 9-ти этажного жилого дома (4-я очередь) в микрорайоне ""Туран"" в городе Шымкенте (повторное использование на 4 дома). (без наружных инженерных сетей) жилой дом №21""","8(7172)425840","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
" ТОО ""А.Р.Т. -Құрылыс"" "," ТОО ""А.Р.Т. -Құрылыс"" ","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","2024","2023","23","54","Шымкент қаласы","3518,43 м2.","9 этажный","Туран ш/а","город Шымкент","мкр Туран","«Строительство 9-ти этажных жилых домов в мкр-не 
Туран. 5 очередь (повторное использование на 4 дома) в
 г. Шымкенте. Жилой дом № 23»","""«Строительство 9-ти этажных жилых домов в мкр-не 
Туран. 5 очередь (повторное использование на 4 дома) в
 г. Шымкенте. Жилой дом № 23»","77074141812","","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turgyn_ui_kurylysy1/v18?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
