"id","raboty_kaz","name_kaz","invest_rus","invest_kaz","name_rus","iniciator_rus","period_kaz","mesto_kaz","mesto_rus","raboty_rus","moshnost","period_rus","iniciator_kaz","source_url","api_endpoint","government_agency"
"4","Май өндірісі","Қызыжар ауданы","цех по переработке масличных культур","Май өдіретін зауыт құрылысы","Кызылжарский район","КТ ""Зенченко и К""","01.01.2025 жыл","Қызыжар ауданы","Кызылжарский район","производство Масло","250 тонн","01.01.2025 год","КТ ""Зенченко и К""","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","отын түйіршіктері өндірісі","Петропавл қ.","Производство топливных пеллет","Отын түйіршіктерін өндіру","г.Петропавловск","ТОО «Nord Panels»","01.01.2025 жыл","Петропавл қ.","г.Петропавловск"," Производство топливных пеллет","60 000 тонн","01.01.2025 год","«Nord Panels» ЖШС","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"5","Асфальтобетон өндірісі","Есіл ауданы","Строительство асфальтобетонного завода","Асфалдіретін зауыт құрылысы","Есильский район","ТОО ""Қызылжар Жолдары KZ""","01.01.2025 жыл","Есіл ауданы","Есильский район","производство асфальтобетона","150000 тонн","01.01.2025 год","""Қызылжар Жолдары KZ"" ЖШС","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","тесек-орын","Петропавл қ.","Строительство гостиницы","Қонақ үйдің құрылысы ","г.Петропавловск","ИП ""Полтавец""","01.01.2025 жыл","Петропавл қ.","г.Петропавловск","койко-мест","40 штук","01.01.2025 год","ЖК ""Полтавец""","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1","ДСП өндірісі","Петропавл қ.","Строительство завода по производству ДСП","ДСП өдіретін зауыт құрылысы","г.Петропавловск","ТОО ""Nord Panels""","01.01.2025 жыл","Петропавл қ.","г.Петропавловск","производство ДСП","50 000 м^3 ","01.01.2025 год","""Nord Panels"" ЖШС","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","Сүт өндірісі","Қызыжар ауданы","Строительство цеха по переработке молока","Сүт өндеу цехының құрылысы","Кызылжарский район","ТОО ""Крестьянский двор СК""","01.01.2025 жыл","Қызыжар ауданы","Кызылжарский район","производство молока","1 тонн","01.01.2025 год"," ""Крестьянский двор СК""  ЖШС
","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","Өсімдік майына арналған тара өндірісі","Тайынша ауданы","Цех по изготовлению тары для розлива масла растительного","Өсімдік майын құюға арналған тара шығаратын цех","Тайыншынский район","ТОО ""Тайынша Май""","01.01.2025 жыл","Тайынша ауданы","Тайыншынский район","производство тары для растительного масла","40 000 штук","01.01.2025 год","""Тайынша Май"" ЖШС","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","Ет өндірісі","Тайынша ауданы","Расширение свинокомплекса до 200 000 голов","Шошқа кешенін 200 000 басқа дейін кеңейту","Тайыншынский район","ТОО ""EMC Agro""","01.01.2025 жыл","Тайынша ауданы","Тайыншынский район","производство мяса","100 000 голов","01.01.2025 год","""EMC Agro"" ЖШС","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"7","Макарон өндірісі","Тайынша ауданы","Строительство цеха  по изготовлению макаронных изделий","Макарон өнімдерін шығаратын цех құрылысы","Тайыншынский район","ТОО ""Memolux (Мемолюкс)""","01.01.2025 жыл","Тайынша ауданы","Тайыншынский район","производство макаронных изделий","7200 тонн","01.01.2025 год","""Memolux (Мемолюкс)""ЖШС","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3","кірпіш өндірісі","Қызыжар ауданы","Расширение кирпичного завода","кірпіш зауыт құрылысы","Кызылжарский район","ТОО ""Кирпич-СК""","01.01.2025 жыл","Қызыжар ауданы","Кызылжарский район","производство кирпичя","90 000 000 штук","01.01.2025 год","""Кирпич-СК"" ЖШС","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/investproektysko/v21?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
