"id","name_kaz","name_rus","period_kaz","vakansii_kaz","vakansii_rus","raion_kaz","period_rus","vsego","raion_rus","source_url","api_endpoint","government_agency"
"4","«Алқатерек орта мектебі« КММ","КГУ «Алкатерекская средняя школа «","1 қаңтар 2025ж","математика мұғалімі-1","учитель математики-1","Ақжар ауданы","1 января 2025г","1","Акжарский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","""Совхозное орта мектебі"" КММ","КГУ «Совхозная средняя школа«","1 қаңтар 2025ж","педагог-психолог","педагог-психолог","Қызылжар ауданы","1 января 2025г","1","Кызылжарский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"14","« Макашевка негізгі мектебі"" КММ","КГУ «Макашевская основная школа""","1 қаңтар 2025ж","педагог-психолог-1","учитель математики-1,педагог-психолог-1","Тайынша ауданы","1 января 2025г","2","Тайыншинский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"18","«Ұзынкөл орта мектебі» КММ","КГУ «Узункольская средняя школа» ","1 қаңтар 2025ж","тәрбиешісі-1","воспитатель-1","Мағжан Жұмабаев ауданы","1 января 2025г","1","район Магжана Жумабаева","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"23","«Бастомар орта мектебі» КММ","КГУ «Бастомарская средняя школа» ","1 қаңтар 2025ж","педагог-ассистент-1","педагог-ассистент-1","Мағжан Жұмабаев ауданы","1 января 2025г","1","район Магжана Жумабаева","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"28","Айтуар НОМ КММ","КГУ ""Айтуарская ОСШ""","1 қаңтар 2025ж","химия пәні мұғалімі - 1, жантанушы - 1","учитель химии - 1, психолог - 1 ","Жамбыл ауданы","1 января 2025г","2","Жамбылский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"33","Озерный ЖОББМ КММ","КГУ ""Озерная ОШ""","1 қаңтар 2025ж","математика пәні мұғалімі-1, орыс тілі пәні мұғалімі -1, ағылшын тілі пәні мұғалімі-1, директордың оқу-тәрбие ісі жөніндегі орынбасары -1","учитель математики-1, учитель русского языка-1, учитель английского языка-1, заместитель директора по учебно-воспитательной работе-1","Жамбыл ауданы","1 января 2025г","4","Жамбылский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"38","Баян ЖОББМ","КГУ""Баянская ОШ""","1 қаңтар 2025ж","Орыс тілі мен әдебиет-1;математика-1;тарих-1;","Учитель рус.языка и литературы-1,математики-1,истории-1","Жамбыл ауданы","1 января 2025г","3","Жамбылский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3","«Бостандық орта мектебі« КММ","КГУ «Бостандыкская средняя школа «","1 қаңтар 2025ж","психолог-1","психолог-1","Ақжар ауданы","1 января 2025г","1","Акжарский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"8","""Асаново  орта мектебі"" КММ","КГУ «Асановская  средняя школа«","1 қаңтар 2025ж","педагог-психолог","педагог-психолог","Қызылжар ауданы","1 января 2025г","1","Кызылжарский район","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/vakansiiuchiteleisko/v23?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
