"ploshad","region","id","naznacheni","period","source_url","api_endpoint","government_agency"
"312,3 га ","Баянауыл ауданы/Баянаульский район","4","шаруа немесе фермер қожалығын, ауыл шаруашылығы өндірісін жүргізу үшін/для ведения крестьянского или фермерского хозяйства, сельскохозяйственного производства","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"263,9 га","Баянауыл ауданы/Баянаульский район","9","шаруа немесе фермер қожалығын, ауыл шаруашылығы өндірісін жүргізу үшін/для ведения крестьянского или фермерского хозяйства, сельскохозяйственного производства","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"101,6 га","Баянауыл ауданы/Баянаульский район","14","шаруа немесе фермер қожалығын, ауыл шаруашылығы өндірісін жүргізу үшін/для ведения крестьянского или фермерского хозяйства, сельскохозяйственного производства","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"350,2 га","Баянауыл ауданы/Баянаульский район","19","шаруа немесе фермер қожалығын, ауыл шаруашылығы өндірісін жүргізу үшін/для ведения крестьянского или фермерского хозяйства, сельскохозяйственного производства","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"130,9 га","Баянауыл ауданы/Баянаульский район","24","шаруа немесе фермер қожалығын, ауыл шаруашылығы өндірісін жүргізу үшін/для ведения крестьянского или фермерского хозяйства, сельскохозяйственного производства","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"0,1 га","Баянауыл ауданы/Баянаульский район","31","шиномонтаж құрылысы мен қызмет көрсету үшін/для строительства и обслуживания шиномонтажа","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"0,01 га","Май ауданы/Майский район","36","Коммерциялық мақсат үшін/Для коммерческих целей ","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"0,1 га","Май ауданы/Майский район","41","Коммерциялық мақсат үшін/Для коммерческих целей ","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3333","Май ауданы/Майский район","46","Ауыл шаруашылығы өндірісін жүргізу үшін/Для ведения сельскохозяйственного производства","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1468.53","Май ауданы/Майский район","51","Ауыл шаруашылығы өндірісін жүргізу үшін/Для ведения сельскохозяйственного производства","2025 жылғы 1 тоқсан/1 квартал 2025 года","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri1/v24?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
