"id","name3","name4","name","name1","name2","source_url","api_endpoint","government_agency"
"2","9489","367569.9","Қазығұрт","Казгуртский","1633","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"7","16041","581266.4","Сайрам","Сайрамский","2995","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"12","4194","178257.9","Түлкібас","Тюлькубасский","767","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"","147278","5764066.3000000007","Барлығы","Всего","26167","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3","6771","185456.7","Жетісай","Жетысай","1144","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"8","5802","222040.9","Сарыағаш","Сарыагашский","1054","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"13","3189","108820.8","Шардара","Шардаринский","540","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"4","19844","627189.1","Мақтаарал","Мактааральский","3296","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","29300","1042672.7","Келес","Келес","5003","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"14","2191","106744.4","Арыс қ.","г.Арысь","450","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komekti_alus/v25?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
