"id","name_kaz","adamdar","name_rus","period_kaz","period_rus","tenge","source_url","api_endpoint","government_agency"
"4","Есил ауданы","23","Есильский район ","2025 ж. 01.01","01.01.2025 г.","2082.3000000000002","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","Г. Мусрепов ауданы","27","район Г. Мусрепова ","2025 ж. 01.01","01.01.2025 г.","3784.3","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"14","Петропавл каласы","93"," город Петропавловск","2025 ж. 01.01","01.01.2025 г.","14324.9","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1","Айыртау ауданы","10","Айыртауский район","2025 ж. 01.01","01.01.2025 г.","852.9","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"5","Жамбыл ауданы","12","Жамбылский район","2025 ж. 01.01","01.01.2025 г.","708.9","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","Тайынша ауданы","23","Тайыншинский район","2025 ж. 01.01","01.01.2025 г.","1658.2","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","Акжар ауданы","15","Акжарский район","2025 ж. 01.01","01.01.2025 г.","1993.7","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","М. Жумабаев ауданы","19","район М. Жумабаева","2025 ж. 01.01","01.01.2025 г.","2226.3000000000002","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","Тимирязев ауданы","4","Тимирязевский район","2025 ж. 01.01","01.01.2025 г.","188.3","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3","Аккайын ауданы","12","Аккайынский район","2025 ж. 01.01","01.01.2025 г.","1144.5","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/nadomudetiinvalidysko/v26?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
