"number_of_families","number_of_persons","the_designated_amount","name_ru","name_kz","source_url","api_endpoint","government_agency"
"122","542","32 685 318","СТЕПНОГОРСК Г.А.","Степногорск қ.","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"17","80","5 275 834","РАЙОН БИРЖАН САЛ","Биржан сал ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"113","479","39 160 677","ЕСИЛЬСКИЙ РАЙОН","Есіл ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"43","175","14 546 017","САНДЫКТАУСКИЙ РАЙОН","Сандықтау ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"29","116","4 947 764","АККОЛЬСКИЙ РАЙОН","Ақкөл ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"15","83","7 304 404","БУЛАНДЫНСКИЙ РАЙОН","Буланды ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"25","126","6 747 498","ЖАКСЫНСКИЙ РАЙОН","Жаксы ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"40","194","9 665 832","АРШАЛЫНСКИЙ РАЙОН","Аршалы ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"93","399","31 923 449","БУРАБАЙСКИЙ РАЙОН ","Бурабай ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"30","139","9 552 632","ЖАРКАИНСКИЙ РАЙОН","Жарқайын ауданы","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atauly_aleumettik_komek_alushy3/v32?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
