"adress_kz","area","characteristics_of_the_land_plot_ru","district_/_city_kz","district_/_city_ru","characteristics_of_the_land_plot_kz","adress_ru","source_url","api_endpoint","government_agency"
" Кеңес ауылдық округі, Домбыралы ауылы","0.3","Для строительства животноводческой базы","Ақкөл ауданы","Аккольский район","Мал базасын салу үшін"," Кенесский сельский  округ, аул Домбыралы","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"ст. Бабатай","0.05","Для строительства и обслуживания объекта ","Аршалы ауданы","Аршалынский район","Объектіні салу және қызмет көрсету үшін","ст. Бабатай","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Колутон ст.","1","Для строительства и обслуживания объекта ","Астрахан ауданы","Астраханский район","Объектіні салу және қызмет көрсету үшін","ст.Колутон","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Атбасар қаласы","0.06","Для строительства и обслуживания объекта коммерческой деятельности.","Атбасар ауданы","Атбасарский район","Коммерциялық қызмет объектісін құрылысы және оған қызмет көрсету үшін.","город Атбасар","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Атбасар қаласы","0.25","Для строительства ресторана","Атбасар ауданы","Атбасарский район","Мейрамхана құрылысы үшін","город Атбасар","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Атбасар қаласы","3.5000000000000003E-2","Для строительства кафе","Атбасар ауданы","Атбасарский район","Кафе құрлысы үшін","город Атбасар ","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Бастау ауылы","0.4","Для строительства и обслуживания объекта коммерческой деятельности.","Атбасар ауданы","Атбасарский район","Коммерциялық қызмет объектісін құрылысы және оған қызмет көрсету үшін.","село Бастау","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Мариновка ауылы","33","Для строительства двух молочных ферм и цеха по переработке молока","Атбасар ауданы","Атбасарский район","Екі сүт фермасы мен сүт өңдеу цехын құрылысы үшін","село Мариновка","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Атбасар қаласы","2.3999999999999998E-3","Для строительства гаража","Атбасар ауданы","Атбасарский район","Гараж құрылысы үшін","город Атбасар","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Зеленый Бор а.","0.04","Для строительства и обслуживания зданий и сооружений","Бурабай ауданы","Бурабайский район","Ғимараттар мен құрылыстарды орналастыру және қызмет көрсету үшін","с. Зеленый Бор","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/bos_zher_uchaskeleri/v41?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
