"region","id","address","name","period","contact","source_url","api_endpoint","government_agency"
"Павлодар қ. / г.Павлодар","1","Ак. Бектуров 139 көшесі /ул. Ак.Бектурова 139","АО Сут/ Сүт АҚ","2025жыл/2025год","327288; 320936","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","6","Солтүстік өнеркәсіп аймағы 455/СПР 455","ТОО ""Best Milk""/ ""Best Milk"" ЖШС","2025жыл/2025год","332859; 654600","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","10","Олжабай батыр 60/1 к. /ул.Мира 60/1","ТОО ""Мяском""/ ""Мяском"" ЖШС","2025жыл/2025год","553437","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","15","Толстого 143/1 көшесі /Толстого 143/1"," ИП ""Юкон""/ ""Юкон"" ЖШС","2025жыл/2025год","613815","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","20","Солтүстік өнеркәсіп аймағы/ Северная промышленная зона","ТОО ""ПП ""КАС""","2025жыл/2025год","333789, 334083","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","25","Транспортная 13 көшесі/ улица Транспортная 13","ИП Тетенева/ Тетенева ЖК","2025жыл/2025год","659407","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","30","Орталық Өнеркәсіптік аймағы 89 көшесі /улица ЦПЗ-89","ТОО ""Агро Даму""/ ""Агро Даму"" ЖШС","2025жыл/2025год","87767644744, 644744","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","35","Циолковского көшесі/ улица Циолковского","ТОО ""№1 PV""/ ""№1 PV"" ЖШС","2025жыл/2025год","87051652488","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","40","Павлодар қ. / г.Павлодар","ИП ""Бекхожин""/ ""Бекхожин"" ЖК","2025жыл/2025год","621282","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Павлодар қ. / г.Павлодар","47","Орталық Өнеркәсіптік аймағы 910 көшесі / ЦПР, 910","ТОО ""Павлодарская кондитерская фабрика""","2025жыл/2025год","87182631927.871796","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/agroonerkasiptik_keshen_obekt/v44?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
