"id","adamdar","period_kaz","raion_kaz","period_rus","raion_rus","source_url","api_endpoint","government_agency"
"4","192","2025 ж. 01.03.","Есіл","01.03.2025 г.","Есильский","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","207","2025 ж. 01.03.","Ғ.Мүсірепов","01.03.2025 г.","Г.Мусрепова","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"14","1441","2025 ж. 01.03.","Петропавл қ.","01.03.2025 г.","г. Петропавловск","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"5","169","2025 ж. 01.03.","Жамбыл","01.03.2025 г.","Жамбылский ","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","330","2025 ж. 01.03.","Тайынша","01.03.2025 г.","Тайыншинский ","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1","266","2025 ж. 01.03.","Айыртау","01.03.2025 г.","Айыртауский","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","295","2025 ж. 01.03.","М.Жұмабаев","01.03.2025 г.","М.Жумабаева","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","152","2025 ж. 01.03.","Тимирязев","01.03.2025 г.","Тимирязевский ","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","238","2025 ж. 01.03.","Ақжар","01.03.2025 г.","Акжарский ","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"7","354","2025 ж. 01.03.","Қызылжар","01.03.2025 г.","Кызылжарский ","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikabezrabotnyhsko/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
