"id","allocated_sum_thousand_tenge","scope_of_work","name_of_the_object_in_russian_language","type_of_repair","the_location_is_in_russian_language","edinica","contact_phone","oversight_organization","location_in_the_kazakh_language","implementation_period","name_of_the_object_kazakh_language","name_of_contracting_organizations","source_url","api_endpoint","government_agency"
"3","2100000","15","Ремонт а/д ""Щучинск-Степняк-Валиханова"" км0-42","Капитальный","Акмолинская область, город Кокшетау, ул. Валиханова 193 а","км","8 7162 77 14 05","ТОО ""Нуралем Курылыс""","Ақмола облысы, Көкшетау қаласы, Уәлиханов көшесі, 193 ""а""","2022-2024","""Щучинск-Степняк-Валиханова"" км0-42 а/ж участкасын жөндеу","ТОО ""Кокшетау Жолдары""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","769900","12","Ремонт а/д ""Кокшетау-Рузаевка""-Васильковка-""Кокшетау-Петропавловск"" км0-29","Средний","Акмолинская область, город Кокшетау, ул. Б.Момышулы 41а","км","8 7162 29 59 28","ТОО ""Есиль Строй Экспертиза""","Ақмола облысы, Көкшетау қаласы, Бауыржан Момышұлы көшесі, 41 ""а""","2022-2024","""Кокшетау-Рузаевка""-Васильковка-""Кокшетау-Петропавловск"" км0-29 а/ж жөндеу","ТОО ""Кокшетауавтодор""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"15","359300","9","Ремонт а/д ""Жалтыр-Макинск"" км0-33","Средний","г.Астана ул.Сыганак 10/2","км","8 7172 79 64 00","ТОО ""Нуралем Курылыс""","Астана қаласы Сыганак көшесі 10/2","2021-2023"," ""Жалтыр-Макинск"" км0-33 а/ж жөндеу","ТОО ""АБК Автодор-НС""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"4","800000","4","Ремонт а/д ""Бабатай-Волгодоновка-Береке-Булаксай"" км0-15","Капитальный","г.Астана ул.Сыганак 10/2","км","8 7172 79 64 00","ТОО ""Аретмида снаб""","Астана қаласы Сыганак көшесі 10/2","2023-2025","""Бабатай-Волгодоновка-Береке-Булаксай"" км 0-15 а/ж жөндеу","ТОО ""АБК Автодор-НС""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","450000","19.100000000000001","Ремонт а/д ""Новый Колутон-Акколь-Азат-Минское"" км172,711-218,841","Средний","Акмолинская область, город Кокшетау, ул. Валиханова 193 а","км","8 7162 77 14 05","ТОО ""Нуралем Курылыс""","Ақмола облысы, Көкшетау қаласы, Уәлиханов көшесі, 193 ""а""","2023-2025","""Новый Колутон-Акколь-Азат-Минское"" км172,711-218,841 а/ж жөндеу","ТОО ""Кокшетау Жолдары""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"16","900000","22","Ремонт а/д ""Ерейментау-Еркиншилик-Аршалы"" км0-68","Средний","г.Астана ул.Сыганак 10/2","км","8 7172 79 64 00","ТОО ""Есиль Строй Экспертиза""","Астана қаласы Сыганак көшесі 10/2","2021-2024","""Ерейментау-Еркиншилик-Аршалы"" км0-68 а/ж жөндеу","ТОО ""АБК Автодор-НС""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"5","951900","10","Ремонт а/д ""Жаксы-Державинск"" км 0-29, 67-100","Средний","г. Нур-Султан Сембинова 27","км","","ТОО ""Бестау С""","Нұр-Сұлтан қ. Сембинова 27","2022-2024","""Жаксы-Державинск"" а/ж жөндеу км 0-29, 67-100","ТОО ""АСМИ""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"8","117700","2.5","Ремонт а/д ""Бузулук-Алматинский""","Средний","Карагандинская область, г. Караганда Учетный квартал 077, строение 4","км","8 7212 49 72 23","ТОО ""Бестау С""","Қарағанда облысы, Қарағанда қ. Учетный квартал 077, құрылыс 4","2021-2023","""Бузулук-Алматы"" а/ж жөндеу","ТОО ""Дорстрой материал LTD""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","450000","4","Ремонт а/д ""Петровка-Улан-Мариновка"" км55-108","Средний","Карагандинская область, г. Караганда Учетный квартал 077, строение 4","км","8 7212 49 72 23","ТОО ""Нуралем Курылыс""","Қарағанда облысы, Қарағанда қ. Учетный квартал 077, құрылыс ","2023-2025","""Петровка-Улан-Мариновка"" км55-108 а/ж жөндеу","ТОО ""Дорстрой материал LTD""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"12","533800","9","Ремонт а/д ""Егиндиколь-Жолан"" км30-40,9","Средний","Акмолинская область, город Кокшетау, ул. Б.Момышулы 41а","км","8 7162 29 59 28","ТОО ""Нуралем Курылыс""","Ақмола облысы, Көкшетау қаласы, Бауыржан Момышұлы көшесі, 41 ""а""","2023-2025","""Егиндиколь-Жолан"" км30-40,9 а/ж жөндеу","ТОО ""Кокшетауавтодор""","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/avtomobil_zholdary_kurylys_zh/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
