"regionru","id","kolichestvo","period","regionkz","source_url","api_endpoint","government_agency"
"г. Байконур","4","325","01.03.2025 г","Байқоңыр қ.","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"г. Кызылорда","9","6229","01.03.2025 г","Қызылорда қ.","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Кармакшинский район","3","1651","01.03.2025 г","Қармақшы ауданы","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Жанакорганский район","8","2207","01.03.2025 г","Жаңақорған ауданы","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Казалинский район","2","3566","01.03.2025 г","Қазалы ауданы","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Шиеліийский район","7","1946","01.03.2025 г","Шиелі ауданы","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Аральский район","1","2230","01.03.2025 г","Арал ауданы","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Сырдарьинский район","6","1365","01.03.2025 г","Сырдария ауданы","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"Жалагашский район","5","747","01.03.2025 г","Жалағаш ауданы","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"по Кызылординской области","10","20266","01.03.2025 г","Қызылорда облысы бойынша","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhumyssysdar_statistikasi/v67?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
