"id","name5","name6","name3","name4","name7","name8","name1","name2","source_url","api_endpoint","government_agency"
"4","Шымкент қаласы, Толстой көшесі, №119","87753108194  87051496194","атқарушы хатшы М.Жолдасбеков","Шымкент қаласы, Толстой көшесі, №119","amanat777@mail.ru","amanat.kz","«Аманат» партиясының Еңбекші аудандық филиалы","Енбекшинский районный филиал партии «Аманат» ","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","г.Шымкент ","87052285050","төраға Қ.Керімбеков","Шымкент қаласы, Қазыбек би көш 1","oko_baitaq@mail.ru ","pp-baitaq.kz","«Қазақстанның ""Байтақ"" жасылдар партиясы»  Шымкент қалалық филиалы","Шымкентский филиал «Политической Партии «Байтақ»","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3","Шымкент қаласы, Жандосов көшесі, №14/1","87051068931","атқарушы хатшы Е.Жүнісбек","Шымкент қаласы, Жандосов көшесі, №14/1","amanat777@mail.ru","amanat.kz","«Аманат» партиясының                 Әл-Фараби аудандық филиалы","Аль-Фарабикий районный филиал партии «Аманат» ","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"8","г.Шымкент, ул Толстого, №119","8 702 447 77 45","төраға Б.Жандарбеков 
","Шымкент қаласы, 
Толстой көшесі №119
","Shym_knpk_uko@mail.ru","knpk.kz/kz","«Қазақстанның Коммунистік Халық партиясы»
Шымкент қалалық филиалы
","Шымкентский филиал «Коммунистической Народной партий Казахстана»","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","Шымкент қаласы, Атасу көшесі, №43","87768675444","атқарушы хатшы Ә.Иманқұлов ","Шымкент қаласы, Атасу көшесі, №43","amanat777@mail.ru","amanat.kz","«Аманат» партиясының Абай аудандық филиалы","Абайский районный филиал партии                      «Аманат»","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"7","г.Шымкент, м/н Нурсат, 640","8 701 717 81 32","төраға Б.Әшірбеков

","Шымкент қаласы, Нұрсәт м/а, 640","Akzhol.kazakhstan@mail.ru","akzhol.kz/","Қазақстанның                «Ақ Жол» демократиялық партиясының Шымкент филиалы ","Шымкентский филиал ""Демократической партии  Казахстана ""Ак жол""","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"12","Шымкент қ, С.Жандосов көш 21","87010943331","
төрағасы
Т.Есжан","Шымкент қ, С.Жандосов көш 21","отсутствует","respublika,kz ","Respublika  партиясының Шымкент қалалық филиалы ","Шымкентский городской филиал партии  Respublika","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1","г.Шымкент,
ул, Бейбитшилик, №3","8 (7252) 39-36-11;
39-41-93
","атқарушы хатшы М.Жолдыхожаев","Шымкент қаласы, Бейбітшілік көшесі, №3","amanat777@mail.ru","amanat.kz","«Аманат» партиясының Шымкент қалалық филиалы","Шымкентский городской филиал партии «Аманат» ","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","г.Шымкент,
ул, Бейбитшилик, №3","87020376205","атқарушы хатшы Б.Алипов","Шымкент қаласы, Бейбітшілік көшесі, №3","amanat777@mail.ru","amanat.kz","«Аманат» партиясының Тұран аудандық филиалы","Туранский районный филиал партии                   «Аманат»","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","г.Шымкент ул П.Тажибаева 112","87024990606","
төрағасы
Н.Қожаханов","Шымкент қ, П.Тәжібаева көш 112","отсутствует","www.osdp.info/kontaktyi","Жалпыұлттық 
Социал –демократиялық  партиясының Шымкент қалалық филиалы ","Шымкентский филиал «Общенациональной социально-демократической партии»","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sayasi_partiyalardyn_filialdar1/v8?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
