"id","name5","name6","name3","name4","name9","name10","name7","name8","name1","name2","source_url","api_endpoint","government_agency"
"1","8 701 451 88 40","Қазақстанның оңтүстігі - Түркістан облысы бойынша тур ","Шымкент қаласы,  Байтұрсынов көшесі 7-14","город Шымкент, ул. Байтурсынова, 7-14","3 күн / 09.00-ден 18.00-ге дейін/","Туроператор","Тур на юг Казахстана - по Туркестанской области","Шымкент - Отырар - Туркестан - Шымкент - Ақсу  Жабаглы - Шымкент - Сайрам - Шымкент","Қуаныш Тур ","Куаныш тур","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","+7 705 509 37 00 
+7 705 509 37 00","Ақсу Жабағлы қорығы бойынша саяхат"," Шымкент қаласы,
Желтоксан көшесі, 20 үй"," город Шымкент,
ул. Желтоксан, д.20","2 күн / 08.00-ден 18.00-ге дейін/","Туроператор","Путешествия по Аксу-Жабаглинскому заповеднику","Шымкент - Аөсу Жабағлы - Шымкент","GSM TRAVEL","GSM TRAVEL","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"13","8 7252 56 34 28","Түркістан қаласы бойынша 1 күндік тур","Шымкент қаласы, Айбергенова көшесі 7/22,"," город Шымкент, улица Айбергенова 7/22, ","1 күн / 08.00-ден 18.00-ге дейін/","Туроператор","Однодневный тур в город Туркестан","Шымкент –  Отырар –  Түркістан – Шымкент","""Сезон тревел"" ЖШС","Сезон тревел, ТОО","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"18","8 778 947 75 70","Түркістан облысы бойынша тур ","Шымкент қаласы, Желтоқсан көшесі 17","город Шымкент, улица Желтоксан 17","2 күн / 09.00-ден 19.00-ге дейін/","Туроператор","Тур по Туркестанской оьласти","Шымкент - г.Отырар - Туркестан - Шымкент","""CIT TRAVEL""","""CIT TRAVEL""","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","8 701 451 88 40","Қазақстанның оңтүстігі - Түркістан облысы бойынша тур ","Шымкент қаласы,  Байтұрсынов көшесі 7-14","город Шымкент, ул. Байтурсынова, 7-14","2 күн / 09.00-ден 18.00-ге дейін/","Туроператор","Тур на юг Казахстана - по Туркестанской области","Шымкент - Туркестан - Шымкент - Сайрам - Шымкент","Қуаныш Тур","Куаныш тур","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"7","8 775 056 02 26","""Түркістан облысының киелі жерлері"" бағдарламасы","Шымкент қаласы, Республика даңғылы, 43 үй","город Шымкент, проспект Республики, дом 43","2 күн / 08.00-ден 18.00-ге дейін/","Туроператор","Программа ""Святые места Туркестанской области""","Шымкент - Түркістан-Түлкібас-Төлеби-Қазығұрт","Шымтур ЖШС ","Шымтур ТОО","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","8 7252 56 34 28","Киелі жерлер бойынша тур бағдарламасы, Қожа Ахмет Яссауи"," Шымкент қаласы, Айбергенова көшесі 7/22,"," город Шымкент, улица Айбергенова 7/22, ","2 күн / 08.00-ден 18.00-ге дейін/","Туроператор","Программа по Святым местам, Ходжа Ахмед Ясави","Шымкент - Сайрам - Қазығұрт - Отырар - Түркістан - Шымкент","""Сезон тревел"" ЖШС","Сезон тревел, ТОО","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","8 7252 56 34 28","3 күндік Оңтүстік Қазақстан тарихы туры"," Шымкент қаласы, Айбергенова көшесі 7/22,"," город Шымкент, улица Айбергенова 7/22, ","2 күн / 08.00-ден 18.00-ге дейін/","Туроператор","Тур 3дня истории Южного Казахстана ","Шымкент – Толебийский р-н – Сайрам – Тараз – Отрар – Туркестан – Шымкент","""Сезон тревел"" ЖШС","Сезон тревел, ТОО","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"14","8 7252 56 34 28","""Ақсу Жабағлы"" қорығына бағытталған бағдарлама","Шымкент қаласы, Айбергенова көшесі 7/22,"," город Шымкент, улица Айбергенова 7/22, ","3 күн / 08.00-ден 18.00-ге дейін/","Туроператор","Программа посещения заповедника ""Аксу Джабаглы""","Шымкент - Жабағлы а. - Шымкент","""Сезон тревел"" ЖШС","Сезон тревел, ТОО","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"19","8  776 117 27 27","Сайрам Өгем ұлттық паркі бойынша тур","Швмкент қаласы, Байсейтова көшесі 4","город Шымкент, улица   Байсейтова 4","1 күн / 09.00-ден 20.00-ге дейін/","Туроператор","Тур по национальном парку Сайрам Угам","Шымкент-Сайрам Өгем ұлттық паркі-Шымкент","EAGLES TRAVEL","EAGLES TRAVEL","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/turistik_marshruttar1/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
