"id","number_of_disabled_people_employed","number_of_registered_people","number_of_employed_people","name_of_cities/districts","period","number_of_disabled_persons_registered_as_unemployed","source_url","api_endpoint","government_agency"
"1","нет данных","154","137","Аккольский","за 2025","98","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","нет данных","330","349","Бурабайский","за 2025","182","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","нет данных","353","109","Есильский","за 2025","26","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"15","нет данных","103","82","Сандыктауский","за 2025","39","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"20","нет данных","313","180","г.Косшы","за 2025","32","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","нет данных","358","110","Аршалынский","за 2025","43","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"7","нет данных","98","45","Биржан Сал","за 2025","32","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","нет данных","113","65","Жаксынский","за 2025","26","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"16","нет данных","546","369","Целиноградский","за 2025","154","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3","нет данных","158","92","Астраханский","за 2025","68","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/halykty_zhumyspen_kamtu_ortaly3/v99?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
