"id","название_поля_2","название_поля_1","название_поля_4","название_поля_3","source_url","api_endpoint","government_agency"
"5","г. Актобе, пр. Санкибай Батыра 249","Актюбинский Областной Филиал    
Центр обслуживания №2","9:00 - 13:00
Касса не работает","9:00 - 18:00
 Касса отсутсвует","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"10","г. Усть-Каменогорск, ул. Головкова, 25/1 ","Восточно-Казахстанский  Областной Филиал ","9:00 - 13:00
Касса не работает","9:00 - 18:00","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"15","г. Уральск, ул. Маметова, 111","Западно-Казахстанский Областной Филиал                                    Центр обслуживания №1","9:00 - 13:00
Касса отсутсвует","9:00 - 18:00
 Касса отсутсвует","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"19","г. Жезказган, ул. Сейфуллина, д. 43 (АО Казахтелеком)"," Карагандинский Областной Филиал  Точка обслуживания ","9:00 - 13:00
Касса отсутсвует","9:00 - 18:00
Касса отсутствует","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"24","г. Актау,17 микрорайон, 50","Мангистауский Областной Филиал","9:00 - 13:00
Касса не работает","9:00 - 18:00","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"29","г. Петропавловск, ул. Конституции Казахстана, 28","Северо-Казахстанский                 Областной Филиал","9:00 - 13:00
Касса не работает","9:00 - 18:00","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"34","г. Алматы, ул. Тулебаева, 15/18А","Филиал в г. Алматы  Центр обслуживания №3","9:00 - 13:00
Касса не работает","9:00 - 18:00","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"39","г. Шымкент, ул. Рыскулбекова, 3 Г ","Филиал в г. Шымкент","9:00 - 13:00
Касса не работает","9:00 - 18:00","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"4","г. Актобе, ул. Жанкожа Батыра 9","Актюбинский Областной Филиал                     
Центр обслуживания №1","9:00 - 13:00
Касса не работает","9:00 - 18:00","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"9","г. Атырау, ул. Абая, 15 А/1,","Атырауский Областной Филиал ","9:00 - 13:00
Касса не работает","9:00 - 18:00","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/otbasy_bank_ak_filialdary/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
