"position","id","quantity","source_url","api_endpoint","government_agency"
"Управление мониторинга новых медиа","11","2 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Отдел мониторинга региональных СМИ","16","32 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Информационно-аналитический отдел","21","5 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Управление правового анализа и нормотворчества","26","1 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Отдел материального обеспечения и планирования","31","4 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Директор","1","1 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Советник","7"," 2 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Отдел мониторинга интернет-ресурсов","12","14 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Управление мониторинга республиканских СМИ","17","1 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Отдел обеспечения государственной информационной политики","22","8 чел","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/tao_rmk-nyn_uiymdyk_kurylymy3/v11?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
