"dustrus","concentration","regionrus","dustkz","regionkz","source_url","api_endpoint","government_agency"
"медь","2.6320000000000001","Усть-Каменогорск","Мыс ","Өскемен","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"медь","4.702","Риддер","Мыс ","Риддер","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"медь","1.1920000000000002","Семей","Мыс ","Семей","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Медь (под)","0.56999999999999995","Актау","Мыс ","Ақтау","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Медь (под)","0.90199999999999991","Бейнеу","Мыс ","Бейнеу","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"медь","0.94800000000000006","Павлодар","Мыс ","Павлодар","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"медь","0.748","Аксу","Мыс ","Ақсу","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"медь","0.69333333333333336","Екибастуз","Мыс ","Екібастұз","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"цинк","2.1399999999999997","Актобе","Мырыш ","Ақтөбе","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"цинк","1.5140000000000001E-2","Астана","Мырыш ","Астана","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/topyrak_zhai-kuii_monitoringi/v13?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
