"id","<статус_реализации_проекта>","<наименование_проекта>","source_url","api_endpoint","government_agency"
"5","На стадии проектирования","ТОО «KLPE» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"9","На стадии проектирования","ТОО «Бутадиен» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"14","На стадии проектирования","ТОО «Ультрастаб-Казахстан» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"4","На стадии реализации","ТОО «Karabatan Utility Solutions»","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"8","На стадии проектирования","ТОО «Dala-Ecos SP» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"13","На стадии проектирования","ТОО «РГК-Каспий» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"3","На стадии реализации","ТОО «Kazakhstan Petrochemical Industries Inc.»","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"7","На стадии проектирования","ТОО «Global Chemical» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"12","На стадии проектирования","ТОО «Силлено» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"2","Действующий проект","ТОО «Эр Ликид Карабатан Тех Газы» ","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/uimt_aea_katysushylarynyn_tizi1/v3?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
