"station","oblast","id","decade053","decade043","decade052","decade051","decade062","decade063","raion","decade081","decade073","decade082","decade083","decade071","decade072","decade061","source_url","api_endpoint","government_agency"
"Балкашино","Акмолинская","4","485","199","396","281","865","1061","Сандыктауский","1805","1623","1954","2084","1239","1443","665","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Ерейментау","Акмолинская","9","552","226","460","326","920","1155","Ерейментауский","1957","1753","2125","2268","1434","1545","731","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Коргалжин ","Акмолинская","14","644","269","528","384","1057","1295","Коргалжинский","2162","1932","2347","2503","1485","1708","842","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"г.Актобе","Актюбинская","19","798","409","635","511","1306","1485","г.Актобе","2400","2173","2591","2781","1737","1950","1033","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Караулкелды","Актюбинская","23","904","468","728","585","1460","1649","Байганинсский","2643","2388","2856","3075","1914","2145","1161","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Новороссийское","Актюбинская","28","670","343","531","426","1141","1305","Хромтауский","2137","1922","2309","2477","1530","1722","887","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"г.Усть-Каменогорск","Восточно-Казахстанская","33","788","318","640","470","1162","1412","г.Усть-Каменогорск","2318","2086","2539","2730","1615","1849","966","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Шемонаиха ","Восточно-Казахстанская","38","733","260","555","398","1054","1301","Шемонаихинский","2189","1962","2407","2583","1502","1729","862","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Жалпактал","Западно-Казахстанская","43","927","501","741","615","1478","1685","Казталоский","2710","2468","2924","3158","1962","2230","1186","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Январцево","Западно-Казахстанская","48","832","435","655","532","1342","1531","Байтерекский","2460","2238","2653","2857","1788","2024","1073","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/2020_zhylgy_vegetaciyalyk_keze1/v34?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
