"dustrus","excess5","maxconsentration","excess","regionrus","excessmc","lowconsentration","excesslc","dustkz","excess10","regionkz","source_url","api_endpoint","government_agency"
"Взвешенные частицы (пыль)","0","0.4","0","Астана","0.8","0.15965277777777775","1.0643518518518518","Қалқыма бөлшектер (шаң)","0","Астана қаласы","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Сероводород","0","3.44E-2","285","Астана","4.3","3.9923176574684759E-3","","Күкіртті сутегі","0","Астана қаласы","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Взвешенные частицы РМ-10","0","0.101729","0","Кокшетау","0.33909666666666666","9.5812604166666798E-3","0.15968767361111133","РМ-10 қалқыма бөлшектері","0","Көкшетау қаласы","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Взвешенные частицы РМ-2,5","-","-","-","Степногорск","-","-","-","РМ-2,5 қалқыма бөлшектері","-","Степногорск қаласы","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Оксид азота","0","4.4010000000000001E-2","0","Степногорск","0.110025","6.4247713293650952E-3","0.10707952215608492","Азот оксиді","0","Степногорск қаласы","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Диоксид азота","-","-","-","Атбасар","-","-","-","Азот диоксиді","-","Атбасар қаласы","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Сероводород","0","3.7000000000000002E-3","0","СКФМ Боровое","0.46250000000000002","3.5233134920634635E-4","","Күкірт сутегі","0","Бурабай КФМС","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Оксид углерода","0","4.9765600000000001","0","Щучинско-Боровская курортная зона (ЩБКЗ)","0.99531199999999997","0.74466672123015865","0.24822224041005289","Көміртегі оксиді","0","Щучинск-Бурабай курорттық аймағының (ЩБКА)","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Диоксид азота","0","3.0499999999999999E-2","0","Аксу","0.1525","6.0772817460317324E-3","0.1519320436507933","Азот диоксиді","0","Ақсу ","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Диоксид азота","0","0.1031","0","Бестобе","0.51549999999999996","8.1255406746031947E-2","2.0313851686507984","Азот диоксиді","0","Бестөбе","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/atmosferalyk_aua_lastanuy_moni1/v39?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
