"id","naimenovanie_2","naimenovanie_1","naimenovanie_4","naimenovanie_3","naimenovanie_6","naimenovanie_5","source_url","api_endpoint","government_agency"
"1","АО ""Петропавловский завод тяжелого машиностроения""","Аманкабжан Алмат Аманович","87152630300","87152630300","Аманқабжан Алмат Аманұлы","""Петропавл ауыр машина жасау зауыты"" АҚ ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"6","АО ""Научно-исследовательский институт ""Гидроприбор""","Ережепов Биржан Нурланович","87112510669","87112510669","Ережепов Біржан Нұрланұлы ","""Гидроприбор"" ғылыми-зерттеу институты» АҚ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"11","АО ""Завод имени С.М. Кирова""","Нурмагамбетов Алмас Мусаевич","87152533469","87152533469","Нұрмағамбетов Алмас Мұсайұлы","""С.М. Киров атындағы зауыт"" АҚ  ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"16","ТОО ""Research & Development центр ""Казахстан инжиниринг""","Байсеитов Гани Нуралиевич","87172322124","87172322124","Байсейітов Ғани Нұралыұлы","""Қазақстан инжиниринг"" Research & Development орталығы"" ЖШС ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"5","ТОО ""Еврокоптер Казахстан инжиниринг""","Arnaud Cecile Germaine Elizabeth  ","87172272590","87172272590","Арно Сесиль Жермен Элизабет","""Еврокоптер Қазақстан инжиниринг"" ЖШС","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"10","АО ""Семей инжиниринг""","Хасенов Кайрат Муратбекович","87222550808","87222550808","Хасенов Қайрат Мұратбекұлы ","""Семей инжиниринг"" АҚ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"15","ТОО ""КТМ Инвест""","Омарходжаев Ануар Сагыналиевич","","","Омарходжаев Әнуар Сағыналиұлы","""КТМ Инвест"" ЖШС ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"4","АО ""Тыныс"" ","Калманбаев Кайрат Жаныбаевич","87162760694","87162760694","Қалманбаев Қайрат Жаңыбайұлы","""Тыныс"" АҚ  ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"9","ТОО ""Авиационный учебный центр""","Комратов Даулет Ратмирович","87172380035","87172380053","Комратов Дәулет Ратмирұлы","""Авиациялық оқу орталығы"" ЖШС","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"14","ТОО ""Казахстанская авиационная индустрия""","Жауханов Кайрат Кенесбекович ","87172983833","87172983833","Жауханов Қайрат Кеңесбекұлы ","""Қазақстандық авиациялық индустрия"" ЖШС ","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_inzhiniring_uk__a1/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
