"dustrus","waterquality","concentration","objectrus","dustkz","objectkz","source_url","api_endpoint","government_agency"
"Не обнаружено","1 класс","0","река Буктырма (ВКО)","Анықталмады","Бұқтырма өз.  (ШҚО)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Цинк","6 класс","0.54100000000000004","река Красноярка (ВКО)","Мырыш","Красноярка өз. (ШҚО)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Фториды","3 класс","1.06","река  Емель (ВКО)","Фториды","Емел өз. (ШҚО)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Медь","3 класс","2.0999999999999999E-3","река Уржар (ВКО)","Мыс","Үржар өз. (ШҚО)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Магний","3 класс","40.799999999999997","река Жайык (ЗКО)","Магний","Жайық өз. (БҚО)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"ХПК","3 класс","15.6","река Кигаш (Атырауская обл.)","ОХТ","Қиғаш өз.(Атырау обл.)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"ХПК","3 класс","15.3","пр. Шаронова (Атырауская обл.)","ОХТ","Шаронова тармағы (Атырау обл.)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Аммоний –ион ","4 класс","1.4850000000000001","река Эмба (Актюбинская обл.)","Аммоний –ион ","Ембі өз.(Ақтөбе обл.)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Фосфаты","3 класс","0.61099999999999999","река Елек (ЗКО)","Фосфаттар","Елек өз.(БҚО)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Магний","3 класс","32.4","река  Дерколь (ЗКО)","Магний","Деркөл  өз.  (БҚО)","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zher_usti_suy_sapasynyn_monito3/v46?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
