"regionru","id","rainkz","period","rainru","tempru","tempkz","source_url","api_endpoint","government_agency"
"Жезказган","6","Көшпелі бұлтты, жауын-шашынсыз","на 23.03.2025","Переменная облачность, без осадков","днем +6
ночью -1","күндіз +6
түнде -1","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Актобе","11","Көшпелі бұлтты, жауын-шашынсыз","на 23.03.2025","Переменная облачность, без осадков ","днем +8
ночью -4","күндіз +8
түнде -4","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Кызылорда","16","Көшпелі бұлтты, жауын-шашынсыз. Кей уақыттарда екпінді жел","на 23.03.2025","Переменная облачность, без осадков. Временами  порывистый ветер","днем +12                                        ночью +4","күндіз +12  түнде +4","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Усть-Каменогорск","7","Көшпелі бұлтты, жауын-шашынсыз. Түнде және таңертең тұман","на 23.03.2025","Переменная облачность, без осадков. Ночью и утром туман","днем +1          ночью -9","күндіз +1    түнде -9","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Актау","12","Көшпелі бұлтты, түнде жаңбыр. Кей уақыттарда екпінді жел","на 23.03.2025","Переменная облачность, ночью дождь. Временами порывистый ветер ","днем +8
ночью +5","күндіз +8
түнде +5","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Конаев","17","Көшпелі бұлтты, кей уақыттарда жаңбыр, екпінді жел","на 23.03.2025","Переменная облачность, временами дождь, порывистый ветер","днем +19           ночью +8","күндіз +19        түнде +8","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Петропавловск","1","Көшпелі бұлтты, жауын-шашынсыз. Түнде және таңертең тұман. Күндіз көктайғақ, екпінді жел","на 23.03.2025","Переменная облачность, без осадков. Ночью и утром туман. Днем гололед, порывистый ветер","днем +2               ночью -4","күндіз +2
түнде -4","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Павлодар","4","Көшпелі бұлтты, жауын-шашынсыз. Түнде және таңертең тұман. Күндіз көктайғақ","на 23.03.2025","Переменная облачность, без осадков. Ночью и утром туман. Днем гололед","днем +2
ночью -6","күндіз +2
түнде -6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Караганда","5","Көшпелі бұлтты, жауын-шашынсыз","на 23.03.2025","Переменная облачность, без осадков","днем +3
ночью -5","күндіз +3
түнде -5","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Семей","8","Көшпелі бұлтты, жауын-шашынсыз","на 23.03.2025","Переменная облачность, без осадков","днем +4           ночью -5","күндіз +4    түнде -5","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/kazakstan_kalalary_boiynsha_au9/v679?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
