"typekaz","information","typerus","minimum","seller","guaranteed","id","formkaz","dateandtime","starting","statuskaz","formrus","statusrus","source_url","api_endpoint","government_agency"
"Бағаны көтеру (26.04.2021 бастап қолданылады)","Марка, тип: АВТОМОБИЛЬ ""ЛАДА 21074""; Гос. номер: 852BE04; Год выпуска: 2011; Номер двигателя: 9839467; Номер кузова: XTA210740B3112678; Пробег:  км.; Цвет: Белый","На повышение цены (применяется с 26.04.2021)","1","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА МАРТУКСКОГО СЕЛЬСКОГО ОКРУГА МАРТУКСКОГО РАЙОНА""; РНН: 061000001574; БИН: 010640002287","18215","4","Электрондық аукцион","31.12.2024  10:00:00","121429","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Марка, тип: АВТОМОБИЛЬ ВАЗ 21214; Гос. номер: S625VR; Год выпуска: 2008; Номер двигателя: 8669146; Номер кузова: XTA21214081875893; Пробег:  км.; Цвет: БЕЛЫЙ","На понижение цены (применяется с 26.04.2021)","1","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА СЕЛЕТИНСКОГО СЕЛЬСКОГО ОКРУГА""; РНН: 450600003989; БИН: 980140002656","150000","9","Электрондық аукцион","23.01.2025  10:00:00","3000000","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Марка, тип: АВТОМОБИЛЬ ""УАЗ 220692 04""; Гос. номер: 605BA12; Год выпуска: 2006; Номер двигателя: 42140050027332; Номер кузова: 22060060200364; Пробег:  км.; Цвет: БЕЛАЯ НОЧЬ","На понижение цены (применяется с 26.04.2021)","1","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""БЕЙНЕУСКИЙ РАЙОННЫЙ ОТДЕЛ ЭКОНОМИКИ И ФИНАНСОВ""; РНН: 430200212245; БИН: 090140008699","40625","11","Электрондық аукцион","24.01.2025  10:00:00","812499","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Марка, тип: АВТОМОБИЛЬ ""ГАЗ 3307""; Гос. номер: R297BU; Год выпуска: 1999; Номер двигателя: 1023279; Номер кузова: 0000126 А/ЦИСТЕРНА; Пробег:  км.; Цвет: СЕРЫЙ","На понижение цены (применяется с 26.04.2021)","1","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""БЕЙНЕУСКИЙ РАЙОННЫЙ ОТДЕЛ ЭКОНОМИКИ И ФИНАНСОВ""; РНН: 430200212245; БИН: 090140008699","120575","16","Электрондық аукцион","24.01.2025  10:00:00","2411499","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Наименование: Здание больницы с хозяйственными пристройками, общей площадью 4891,20 кв.м., расположенный по адресу: трасса Самара-Шымкент, строение 2Т, п.Жосалы Кармакшинского района Кызылординской области.; Площадь застройки: 4891,20 кв.м.; Площадь балконов и террас:  кв.м.; Площадь основная:  кв.м.; Площадь помещений:  кв.м.; Площадь нежил. помещений:  кв.м.; Площадь вспомогательная:  кв.м.","На понижение цены (применяется с 26.04.2021)","1","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЭКОНОМИКИ И ФИНАНСОВ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ""; РНН: 331000048105; БИН: 990140000831","94121250","23","Электрондық аукцион","28.01.2025  11:00:00","1882425000","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Марка, тип: АВТОМОБИЛЬ ""ПАЗ - 3206 110""; Гос. номер: 087 AU 07; Год выпуска: 2014; Номер двигателя: ; Номер кузова: X1M3206B0E0000622; Пробег:  км.; Цвет: белый","На понижение цены (применяется с 26.04.2021)","1020000","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЭКОНОМИКИ И ФИНАНСОВ БОКЕЙОРДИНСКОГО РАЙОНА""; РНН: 271500210787; БИН: 110140000977","306000","28","Электрондық аукцион","28.01.2025  11:00:00","6120000","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Марка, тип: АВТОМОБИЛЬ ""УАЗ - 39629 016""; Гос. номер: 917 AV 07; Год выпуска: 2007; Номер двигателя: ; Номер кузова: XTT39629070498075; Пробег:  км.; Цвет: серый","На понижение цены (применяется с 26.04.2021)","1","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЭКОНОМИКИ И ФИНАНСОВ БОКЕЙОРДИНСКОГО РАЙОНА""; РНН: 271500210787; БИН: 110140000977","136950","30","Электрондық аукцион","28.01.2025  11:00:00","2739000","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны көтеру (26.04.2021 бастап қолданылады)","Марка, тип: АВТОМОБИЛЬ УРАЛ 5557; Гос. номер: S913VV; Год выпуска: 1993; Номер двигателя: 015859; Номер кузова: Н.У.; Пробег:  км.; Цвет: ОРАНЖЕВЫЙ","На повышение цены (применяется с 26.04.2021)","1","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ФИНАНСОВ ГОРОДА АКСУ""; РНН: 451400003236; БИН: 001040002464","298800","35","Электрондық аукцион","29.01.2025  10:00:00","1992000","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Наименование: Нежилое здание школы №97, общей площадью 469,3 кв.м., расположенный по ул.Нуртаза Казакбайулы, д.22 в с.Аранды Казалинского района Кызылординской области.; Площадь застройки: 469,30 кв.м.; Площадь балконов и террас:  кв.м.; Площадь основная:  кв.м.; Площадь помещений:  кв.м.; Площадь нежил. помещений:  кв.м.; Площадь вспомогательная:  кв.м.","На понижение цены (применяется с 26.04.2021)","1","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА СЕЛЬСКОГО ОКРУГА АРАНДЫ""; РНН: 330300001525; БИН: 930340000668","300000","42","Электрондық аукцион","30.01.2025  11:00:00","6000000","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
"Бағаны төмендету (26.04.2021 бастап қолданылады)","Наименование: Здания бывшей Метлишинской основной школы общей площадью 404 кв.м.; Площадь застройки: 404,00 кв.м.; Площадь балконов и террас:  кв.м.; Площадь основная:  кв.м.; Площадь помещений:  кв.м.; Площадь нежил. помещений:  кв.м.; Площадь вспомогательная:  кв.м.","На понижение цены (применяется с 26.04.2021)","1","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА СВЕТЛОПОЛЬСКОГО СЕЛЬСКОГО ОКРУГА КЫЗЫЛЖАРСКОГО РАЙОНА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""; РНН: 480200002420; БИН: 031140003739","277050","47","Электрондық аукцион","31.01.2025  10:00:00","5541000","Сауда-саттық күтілуде","Электронный аукцион","Торги ожидаются","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/information_about_upcoming_ele/v9?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Quasi-Government Organizations"
