Data Link,Version Name,Version Description,Keywords
https://data.egov.kz/api/v4/2020_zhylga_kyzmetkerlerdin_ti/v3?apiKey=yourApiKey,"Удельный вес женщин в списочной численности работников, тыс.человек","Устав АО ""НГК ""Казгеология""","Ключевые слова
удельный вес женщинтрудчисленность"
https://data.egov.kz/api/v4/2020_zhylga_kyzmetkerlerdin_na/v4?apiKey=yourApiKey,"Удельный вес женщин в фактической численности работников, тыс.человек","Стратегия развития АО ""НГК ""Казгеология""","Ключевые слова
удельный вес женщинтрудчисленность"
https://data.egov.kz/api/v4/2020_zhylga_tolyk_emes_zhumys_/v4?apiKey=yourApiKey,"Численность работающих неполный рабочий день или неполную рабочую неделю, человек","Антикоррупционная политика АО ""НГК ""Казгеология""","Ключевые слова
неполныйрабочий деньрабочая неделя"
https://data.egov.kz/api/v4/2020_zhylgy_kyzmetkerlerdin_ak5/v4?apiKey=yourApiKey,Фонд заработной платы в денежной форме тыс.тенге,"Дивидендная политика АО ""НГК ""Казгеология""","Ключевые слова
Фондзаработная платав натуральной форме"
https://data.egov.kz/api/v4/2020_zhylgy_zhumys_kushin_usta1/v4?apiKey=yourApiKey,Сумма затрат на содержание рабочей силы тыс.тенге,"Кодекс деловой этики АО ""НГК ""Казгеология""","Ключевые слова
сумма затратрабочая силасодержание рабочей силы"
https://data.egov.kz/api/v4/2020_zhylgy_zhumys_kushi_kunyn2/v4?apiKey=yourApiKey,Стоимость рабочей силы в расчете на одного работника тыс.тенге,"Организационная структура АО ""НГК ""Казгеология""","Ключевые слова
Стоимость рабочей силыв расчете на одного работника"
https://data.egov.kz/api/v4/2020_zhylga_zhalaky_koryna_kos4/v5?apiKey=yourApiKey,"Выплаты и расходы, не учитываемые в фонде заработной платы тыс. тенге","Отчет об исполнении плана развития АО ""НГК ""Казгеология""","Ключевые слова
выплаты и расходытрудфонд"
https://data.egov.kz/api/v4/2020_zhylgy_kyzmetkerdin_istel/v5?apiKey=yourApiKey,"Стоимость рабочей силы в расчете на 1 час, отработанный работником тенге","Политика введения в должность вновь избранных членов Совета директоров АО ""НГК ""Казгеология""","Ключевые слова
Стоимость рабочей силына 1 час отработанный работником"
https://data.egov.kz/api/v4/esepti_zhyly_zhogary_oku_orynd11/v4?apiKey=yourApiKey,Количество принятых специалистов с высшим образованием из числа окончивших высшие учебные заведения в отчетном году человек,"Политика по управлению рисками АО ""НГК ""Казгеология""","Ключевые слова
специалистыпринятовузы"
https://data.egov.kz/api/v4/2020_zhylga_istelmegen_zhumysy8/v4?apiKey=yourApiKey,Число неотработанных человеко-дней тыс.человеко-дней,"Положение о корпоративном секретаре АО ""НГК ""Казгеология""","Ключевые слова
числочеловеко-дней"
https://data.egov.kz/api/v4/zheke_ondiristik_kazhettilikte/v7?apiKey=yourApiKey,Израсходовано воды на собственные производственные нужды,"Положение о Правлении АО ""НГК ""Казгеология""","Ключевые слова
израсходовано водырасход водыпроизводственные нуждысобственные нуждыЖеке өндірістік қажеттіліктерге жұмсалған су"
https://data.egov.kz/api/v4/tutynushylarga_zhiberilgen_su/v5?apiKey=yourApiKey,Отпущено воды потребителям,"Положение о совете директоров АО ""НГК ""Казгеология""","Ключевые слова
отпущено водыпотребителитұтынушыларжіберілген су"
https://data.egov.kz/api/v4/zhelige_berilgen_su/v5?apiKey=yourApiKey,Подано воды в сеть,"Положение о Омбудсмене АО ""НГК ""Казгеология""","Ключевые слова
Подано водыподано воды в сетьжеліге берілген су"
https://data.egov.kz/api/v4/1_koterimdegi_sorgy_stanciyala/v5?apiKey=yourApiKey,Поднято воды насосными станциями 1 подъема,"Основные положения Кодекса корпоративного управления АО ""НГК ""Казгеология""","Ключевые слова
Объемподнято водынасосными станциями 1 подъема1 көтерімдегі сорғы станцияларымен көтерілген су"
https://data.egov.kz/api/v4/zher_asty_suynyn_koterilgeni/v1?apiKey=yourApiKey,Поднято подземной воды,"Правила осуществления закупок товаров, работ и услуг АО «Казгеология» и организациями, пятьдесят и более процентов голосующих акций (долей участия) которых прямо или косвенно принадлежат АО «Казгеология» на праве собственности или доверительного управления","Ключевые слова
Объем водыподнятая подземная водажер асты суының көтерілгені"
https://data.egov.kz/api/v4/zhiberilgen_akaba_su/v5?apiKey=yourApiKey,Пропущено сточных вод,Политика противодействия коррупции,"Ключевые слова
пропущеносточныхводжіберілгенақабасу"
https://data.egov.kz/api/v4/tazartu_imaraty_arkyly_otkizil/v3?apiKey=yourApiKey,Пропущено воды через очистные сооружения,Устав Акционерного Общества Национальная геолого-разведочная компания Казгеология,"Ключевые слова
пропущено водыпропущено воды через очистные сооруженияочистные сооруженияөткізілген су"
https://data.egov.kz/api/v4/sudyn_bir_adamga_eseptegende_o/v6?apiKey=yourApiKey,Среднесуточный отпуск воды в расчете на 1 жителя,Устав Акционерного Общества Национальная геолого-разведочная компания Казгеология,"Ключевые слова
среднесуточный отпуск воды в расчете на 1 жителясреднесуточный отпуск воды"
https://data.egov.kz/api/v4/sudyn_ysyrap_bolgany_zhane_ese1/v5?apiKey=yourApiKey,утечка и неучтенный расход воды в % ко всей поданной воде в сеть,Состав совета директоров АО Казгеология,"Ключевые слова
утечканеучтенный расход водыутечка и неучтенный расход воды в % ко всей поданной водесудың ысырап болғаныжеліге берілген барлық суға %"
